name,material,city,height,completed
345 Park Avenue,steel,New York City,193.25,1969
BG Group Place,concrete,Houston,192.74000549316003,2011
Mercantile Building,steel,New York City,192.60000610352,1929
Langham Place,concrete,New York City,192.58000183105,2010
The Heritage at Millennium Park,concrete,Chicago,192.38000488281003,2005
Encore,concrete,Las Vegas,192.33000183105,2008
Mint at Riverfront,concrete,Miami,192.2799987793,2009
W New York Downtown Hotel & Residences,concrete,New York City,192.11000061035,2010
Grace Plaza,steel,New York City,192.0299987793,1972
Safeco Plaza,steel,Seattle,192.0299987793,1969
Home Insurance Plaza,steel,New York City,192.0299987793,1966
Infinity at Brickell,concrete,Miami,192.0,2008
101 Park Avenue,concrete,New York City,191.7200012207,1982
Elm Place,steel,Dallas,191.41999816895,1965
888 7th Avenue,steel,New York City,191.41999816895,1971
1345 Avenue of the Americas,steel,New York City,190.5,1969
Citigroup Center,steel,Los Angeles,190.5,1979
Miami Tower,concrete,Miami,190.5,1987
Waldorf Astoria New York,steel,New York City,190.5,1931
353 North Clark,mixed/composite,Chicago,189.99000549316003,2009
Trump Palace,concrete,New York City,189.88999938965,1991
One Kansas City Place,concrete,Kansas City,189.88999938965,1988
Trump International Hotel & Tower 1,concrete,Las Vegas,189.58999633788997,2008
One Madison Park,concrete,New York City,189.2799987793,2010
Olympic Tower,mixed/composite,New York City,189.0,1976
611 Place,steel,Los Angeles,189.0,1967
425 5th Avenue,concrete,New York City,188.33999633788997,2003
New York Life Building,steel,New York City,187.5,1928
Marina Blue,concrete,Miami,187.44999694823997,2007
The Epic,concrete,New York City,187.41000366211003,2007
Tower 49&reg;,mixed/composite,New York City,187.39999389648,1985
Eventi,concrete,New York City,187.14999389648,2010
Wynn Las Vegas,concrete,Las Vegas,187.14999389648,2005
OneEleven,concrete,Chicago,186.77000427246003,2014
Plaza on Brickell Tower I,concrete,Miami,185.92999267578,2007
Millennium Centre,concrete,Chicago,185.91000366211003,2003
Credit Lyonnais Building,steel,New York City,185.63000488281003,1964
Chicago Place,concrete,Chicago,185.32000732422,1991
City Centre,steel,Seattle,184.82000732422,1989
KPMG Tower,steel,Los Angeles,184.80000305176003,1984
ExxonMobil Building,steel,Houston,184.71000671387,1963
Baccarat Hotel & Residences,concrete,New York City,184.50999450683997,2015
One Rincon Hill South Tower,concrete,San Francisco,184.41000366211003,2008
Chicago Board of Trade,steel,Chicago,184.41000366211003,1930
Space Needle,steel,Seattle,184.41000366211003,1962
The Orion,concrete,New York City,184.10000610352,2006
George Washington Bridge,steel,New York City,184.0,1931
Cosmopolitan Casino Spa Tower,mixed/composite,Las Vegas,183.94999694823997,2010
Cosmopolitan Casino Beach Club Tower,mixed/composite,Las Vegas,183.94999694823997,2010
590 Madison Avenue,steel,New York City,183.80000305176003,1983
Gables Republic Tower,steel,Dallas,183.5,1954
250 West 55th Street,steel,New York City,183.42999267578,2013
Epic Residences & Hotel,concrete,Miami,183.19999694823997,2009
CNA Plaza,steel,Chicago,183.19000244141003,1972
U.S. Bank Center,steel,Milwaukee,183.19000244141003,1973
BNY Mellon Center at One Boston Place,steel,Boston,183.19000244141003,1970
One Prudential Plaza,steel,Chicago,183.19000244141003,1955
Eleven Times Square,mixed/composite,New York City,183.10000610352,2011
101 California Street,steel,San Francisco,183.0,1982
50 Fremont Center,steel,San Francisco,183.0,1985
1166 Avenue of the Americas,steel,New York City,182.91000366211003,1974
Aria Resort & Casino,concrete,Las Vegas,182.88000488281003,2009
One International Place,steel,Boston,182.88000488281003,1987
1500 Louisiana Street,steel,Houston,182.88000488281003,2002
Heller International Tower,concrete,Chicago,182.86000061035,1992
Madison Plaza,steel,Chicago,182.46000671387,1982
Republic Center Tower II,steel,Dallas,182.27000427246003,1964
Hawthorn Park,concrete,New York City,182.25,2014
Russell Investments Center,steel,Seattle,182.17999267578,2006
Planet Hollywood Towers,concrete,Las Vegas,182.0,2009
Hearst Tower,steel,New York City,181.9700012207,2006
Avalon Willoughby West,concrete,New York City,181.66000366211003,2015
The Grant,concrete,Chicago,181.30000305176003,2010
One Metropolitan Square,mixed/composite,St. Louis,180.75,1988
Celanese Building,steel,New York City,180.44000244141003,1973
1000 Lake Shore Plaza,concrete,Chicago,179.83000183105,1964
388 Bridge Street,concrete,New York City,179.83000183105,2014
One Financial Center,steel,Boston,179.83000183105,1984
Thurgood Marshall U.S. Court House,steel,New York City,179.83000183105,1936
The Clare at Water Tower,concrete,Chicago,179.47999572753997,2009
Sky House,concrete,New York City,179.33000183105,2008
The Millenium Hilton,concrete,New York City,179.22999572753997,1992
One Wells Fargo Center,steel,Charlotte,179.22999572753997,1988
Time-Life Building,steel,New York City,178.91999816895,1959
Jacob K. Javits Federal Building,steel,New York City,178.91999816895,1967
Icon Brickell North Tower,concrete,Miami,178.61999511718997,2008
Icon Brickell South Tower,concrete,Miami,178.61999511718997,2008
Ten Museum Park,concrete,Miami,178.30999755858997,2007
W Times Square,concrete,New York City,177.85000610352,2002
Mid Continental Plaza,concrete,Chicago,177.61999511718997,2013
Trump International Hotel & Tower,steel,New York City,177.61999511718997,1970
Gulf Tower,steel,Pittsburgh,177.39999389648,1932
Crain Communications Building,concrete,Chicago,177.39999389648,1983
Campbell Mithun Tower,mixed/composite,Minneapolis,177.24000549316003,1985
360 Condominiums,concrete,Austin,177.10000610352,2008
North Pier Apartments,concrete,Chicago,177.08999633788997,1990
Citadel Center,steel,Chicago,176.83999633788997,2003
Stevens Tower,steel,New York City,176.78999328613,1971
The Mansion on Peachtree,concrete,Atlanta,176.78999328613,2008
One AT&T Plaza,steel,Dallas,176.78999328613,1984
Municipal Building,steel,New York City,176.78999328613,1914
Ross Tower,concrete,Dallas,176.47999572753997,1984
Two Houston Center,steel,Houston,176.47999572753997,1974
One California Plaza,steel,Los Angeles,176.17999267578,1985
The Atlantic,concrete,Atlanta,175.86999511718997,2009
520 Madison Avenue,mixed/composite,New York City,175.86999511718997,1982
One World Financial Center,steel,New York City,175.86999511718997,1985
Merchandise Mart,steel,New York City,175.57000732422,1973
The Vue,concrete,Charlotte,175.5,2010
5 Times Square,steel,New York City,175.25999450683997,2002
300 Madison Avenue,steel,New York City,175.25999450683997,2003
Lehman Building,steel,New York City,175.25999450683997,2001
Jade on the Beach,concrete,Sunny Isles Beach,175.0,2008
Carew Tower,steel,Cincinnati,175.0,1931
New York Marriott Marquis Hotel,steel,New York City,174.96000671387,1985
Wells Fargo Center,steel,Seattle,174.96000671387,1983
299 Park Avenue,steel,New York City,174.96000671387,1967
The Fordham,concrete,Chicago,174.80999755858997,2003
190 South LaSalle,steel,Chicago,174.64999389648,1987
Chevron Tower,steel,San Francisco,174.64999389648,1975
Socony Mobil Building,steel,New York City,174.35000610352,1956
1290 Avenue of the Americas,steel,New York City,174.03999328613,1963
One South Dearborn,mixed/composite,Chicago,173.94000244141003,2005
Onterie Center,concrete,Chicago,173.74000549316003,1986
780 3rd Avenue,concrete,New York City,173.74000549316003,1983
Four Embarcadero Center,steel,San Francisco,173.74000549316003,1984
600 3rd Avenue,steel,New York City,173.74000549316003,1971
One Embarcadero Center,steel,San Francisco,173.42999267578,1970
Penobscot Building,steel,Detroit,173.25999450683997,1928
450 Lexington Avenue,steel,New York City,173.13000488281003,1991
Chicago Temple Building,steel,Chicago,173.13000488281003,1924
Paramount Tower,concrete,New York City,172.82000732422,1998
44 Montgomery,steel,San Francisco,172.25,1967
Palmolive Building,steel,Chicago,172.21000671387,1929
230 Park Avenue,steel,New York City,172.21000671387,1928
Spear Tower,steel,San Francisco,172.0,1976
111 Huntington Avenue,steel,Boston,172.0,2002
The Tower at PNC Plaza,mixed/composite,Pittsburgh,172.0,2015
Marina City I,concrete,Chicago,171.39999389648,1964
Marina City II,concrete,Chicago,171.39999389648,1964
Kluczynski Federal Building,steel,Chicago,171.30000305176,1974
30 Broad Street,steel,New York City,171.0,1932
US Bank Plaza I,concrete,Minneapolis,171.0,1981
Huron Plaza,concrete,Chicago,170.69000244141,1983
Nelson Tower,steel,New York City,170.69000244141,1931
Hotel Sherry-Netherland,steel,New York City,170.69000244141,1927
Boeing International Headquarters,steel,Chicago,170.69000244141,1990
Reunion Tower,concrete,Dallas,170.69000244141,1978
Museum Tower,concrete,Dallas,170.67999267578,2013
Blue Diamond Tower,concrete,Miami Beach,170.38999938965,2000
Green Diamond Tower,concrete,Miami Beach,170.38999938965,2000
South Park Tower,concrete,New York City,170.0,1986
100 United Nations Plaza,concrete,New York City,169.7799987793,1986
Continental Can Building,steel,New York City,169.7799987793,1962
The Parkshore,concrete,Chicago,169.4700012207,1991
North Harbor Tower,concrete,Chicago,169.4700012207,1988
VDARA,concrete,Las Vegas,169.4700012207,2009
State of Georgia Building,steel,Atlanta,169.4700012207,1967
Leveque Tower,steel,Columbus,169.30000305176,1927
Reuters Building,steel,New York City,169.19999694824,2001
Civic Opera Building,steel,Chicago,169.16999816895,1929
330 Madison Avenue,steel,New York City,169.16999816895,1964
Equitable Building,steel,New York City,169.16000366211,1915
Paramount at Edgewater Square,concrete,Miami,169.13999938965,2009
Harbor Point,concrete,Chicago,169.0,1975
Tower 111,concrete,New York City,169.0,2011
50 Biscayne,concrete,Miami,168.86000061035,2007
Marriott Marquis Hotel,concrete,Atlanta,168.86000061035,1985
Quantum on the Bay South Tower,concrete,Miami,168.86000061035,2008
The Belvedere,concrete,New York City,168.86000061035,1999
Streeter Place,concrete,Chicago,168.75999450683997,2009
Newberry Plaza,concrete,Chicago,168.55999755859,1974
Michigan Plaza South,concrete,Chicago,168.55999755859,1985
1133 Avenue of the Americas,steel,New York City,168.25,1970
One Sansome Street,steel,San Francisco,168.0,1984
Pittsfield Building,steel,Chicago,167.9700012207,1927
Unysys Building,steel,New York City,167.94999694824,1963
Trump Palace,concrete,Sunny Isles Beach,167.94999694824,2005
Downtown by Philippe Starck,steel,New York City,167.94999694824,1927
AT&T Long Lines Building,steel,New York City,167.94999694824,1974
Hyatt Times Square,concrete,New York City,167.63999938965,2013
Acqualina Ocean Residences,concrete,Sunny Isles Beach,167.63999938965,2004
The Biltmore,concrete,New York City,167.63999938965,2003
WEDGE International Tower,steel,Houston,167.63999938965,1983
Trump Royale,concrete,Sunny Isles Beach,167.63999938965,2008
Sheraton Dallas Hotel Central Tower,steel,Dallas,167.63999938965,1959
KBR Tower,steel,Houston,167.63999938965,1973
The Tower at 15 Central Park West,concrete,New York City,167.63999938965,2008
Bankers Trust West Annex,steel,New York City,167.0299987793,1971
50 United Nations Plaza,concrete,New York City,167.0,2015
455 North Park Drive ?Loews Chicago Hotel,concrete,Chicago,166.57000732422,2015
The Corinthian,concrete,New York City,166.41999816895,1988
Wells Fargo Center,steel,Portland,166.41999816895,1973
Transportation Building,steel,New York City,166.11999511719,1928
Jade Ocean,concrete,Sunny Isles Beach,166.0,2009
Park Millennium,concrete,Chicago,165.88000488281,2002
The Galleria,concrete,New York City,165.80000305176,1975
Bank of America Fifth Avenue Plaza,steel,Seattle,165.50999450683997,1981
Opera Tower,concrete,Miami,165.5,2007
2 Gold Street,concrete,New York City,165.5,2005
AMLI River North,concrete,Chicago,165.47999572754,2013
220 Riverside Boulevard At Trump Place,concrete,New York City,165.25999450683997,2003
17 State Street,steel,New York City,165.25,1988
Viceroy,concrete,Miami,165.19999694824,2009
Grand Central Plaza,steel,New York City,165.19999694824,1973
One Rincon Hill North Tower,steel,San Francisco,165.0,2014
Ritz Hotel Tower,steel,New York City,164.89999389648,1926
1285 Avenue of the Americas,steel,New York City,164.60000610352,1960
"Eiffel Tower, Paris Las Vegas",steel,Las Vegas,164.60000610352,1998
14 Wall,steel,New York City,164.58999633789,1912
Mandarin Oriental Hotel Las Vegas,mixed/composite,Las Vegas,164.28999328613,2009
RBC Plaza,concrete,Minneapolis,164.13999938965,1992
"Vizcayne, North Tower",concrete,Miami,164.0,2008
"Vizcayne, South Tower",concrete,Miami,164.0,2008
Two International Place,steel,Boston,164.0,1993
Lefcourt Colonial Building,steel,New York City,163.97999572754,1929
Shaklee Terrace Building,steel,San Francisco,163.97999572754,1982
Tribeca Tower,concrete,New York City,163.67999267578,1990
Quantum on the Bay North Tower,concrete,Miami,163.38000488281,2008
U.S. Bancorp Tower,steel,Portland,163.38000488281,1983
901 Fifth Avenue,steel,Seattle,163.38000488281,1973
The Pinnacle,concrete,Chicago,163.07000732422,2004
LaSalle National Bank,steel,Chicago,163.07000732422,1934
Cathedral of Learning,steel,Pittsburgh,163.07000732422,1936
Ernst & Young Plaza,steel,Los Angeles,162.75999450683997,1986
2929 Weslayan,concrete,Houston,162.5,2015
1700 Broadway,steel,New York City,162.46000671387,1969
One America Tower,steel,Indianapolis,162.46000671387,1982
Trump Plaza Residences,concrete,Jersey City,162.16000366211,2008
Westin New York at Times Square,concrete,New York City,162.16000366211,2002
DuMont Building,steel,New York City,162.16000366211,1931
The Brooklyner,concrete,New York City,162.0,2010
515 Park Avenue,concrete,New York City,162.0,1999
Park Place Tower,concrete,Chicago,161.85000610352,1971
One North LaSalle Street,steel,Chicago,161.55000305176,1930
William Green Building,steel,Columbus,161.55000305176,1990
70 Columbus,concrete,Jersey City,161.38999938965,2015
Elysees Condominiums,concrete,Chicago,161.24000549316003,1973
Legg Mason Building,concrete,Baltimore,161.24000549316003,1973
Tower at Erieview,steel,Cleveland,161.24000549316003,1964
First Market Tower,steel,San Francisco,161.24000549316003,1972
McKesson Plaza,steel,San Francisco,161.24000549316003,1969
Jade at Brickell Bay,concrete,Miami,160.94000244141,2004
The Metropolis,concrete,New York City,160.94000244141,2001
William Beaver House,concrete,New York City,160.7799987793,2010
North American Plywood Building,steel,New York City,160.33000183105,1972
Plaza on Brickell Tower II,concrete,Miami,160.0,2007
Hotel Pierre,steel,New York City,160.0,1928
767 3rd Avenue,steel,New York City,160.0,1980
River Plaza,concrete,Chicago,159.7200012207,1977
Citibank Building,steel,New York City,159.7200012207,1961
Amazon Tower I,mixed/composite,Seattle,159.7200012207,2016
425 Market Street,steel,San Francisco,159.69999694824,1973
35 East Wacker Drive,steel,Chicago,159.41000366211,1927
Pennzoil Place I,mixed/composite,Houston,159.41000366211,1976
Pennzoil Place II,mixed/composite,Houston,159.41000366211,1976
Mercantile Building,steel,Dallas,159.41000366211,1943
Kemper Building,steel,Chicago,159.11000061035,1962
825 Third Avenue,steel,New York City,159.11000061035,1969
Mather Tower,steel,Chicago,158.89999389648,1928
Atelier,concrete,New York City,158.80000305176,2007
Santa Maria,concrete,Miami,158.5,1997
Three Mellon Center,steel,Pittsburgh,158.5,1951
10 South Wacker,concrete,Chicago,158.5,1987
30 South Wacker,concrete,Chicago,158.5,1983
One Federal Street,steel,Boston,158.5,1976
26 Broadway,steel,New York City,158.5,1924
Newsweek Building,steel,New York City,158.0,1931
RRI Energy Plaza,concrete,Houston,158.0,2003
The Residences at the Ritz-Carlton,concrete,Philadelphia,157.88999938965,2009
The Downtown Club,steel,New York City,157.88999938965,1930
Palms Place,concrete,Las Vegas,157.75999450683997,2008
The Columbian,concrete,Chicago,157.66000366211,2008
TCW Tower,steel,Los Angeles,157.58000183105,1990
785 8th Avenue,concrete,New York City,157.44000244141,2009
191 North Wacker Drive,mixed/composite,Chicago,157.41000366211,2002
Highpoint Condominiums,concrete,New York City,157.2799987793,1988
Union Bank Plaza,steel,Los Angeles,157.2799987793,1968
Frost Bank Tower,concrete,Austin,157.19999694824,2004
401 East Ontario Street,concrete,Chicago,156.9700012207,1990
Sterling Drug Company Building,steel,New York City,156.9700012207,1964
Seagram Building,steel,New York City,156.9700012207,1958
The Streeter,concrete,Chicago,156.66999816895,2007
Rainier Tower,steel,Seattle,156.66999816895,1977
1214 Fifth Avenue,concrete,New York City,156.41000366211,2012
600 North Lake Shore Drive - South Tower,concrete,Chicago,156.36000061035,2009
Bank of New York Building,steel,New York City,156.36000061035,1927
Park Tower Condominiums,concrete,Chicago,156.30999755859,1973
The Ivy,concrete,Miami,156.16000366211,2008
Millennium Towers North,steel,New York City,156.05999755859,1930
One Hanson Place,steel,New York City,156.05999755859,1929
1407 Broadway,steel,New York City,156.05999755859,1950
International Building,steel,New York City,156.05999755859,1935
LaSalle-Wacker Building,steel,Chicago,156.05999755859,1930
437 Madison Avenue,steel,New York City,156.05999755859,1967
Bryan Tower,steel,Dallas,156.05999755859,1973
Fourth and Madison Building,mixed/composite,Seattle,156.05999755859,2003
Continental Building,steel,New York City,155.75999450683997,1931
1155 Avenue of the Americas,steel,New York City,155.75999450683997,1984
K & L Gates Center,steel,Pittsburgh,155.75999450683997,1968
Harris Bank Bank Addition II,steel,Chicago,155.44999694824,1974
Liberty Plaza,concrete,New York City,155.38999938965,2004
Bank of America Building,steel,Baltimore,155.14999389648,1924
KOIN Center,concrete,Portland,155.14999389648,1984
Hudson Greene East Tower,concrete,Jersey City,155.13999938965,2010
215 West,concrete,Chicago,155.05999755859,2010
BrickellHouse,concrete,Miami,155.03999328613,2014
Renaissance Center 100 Tower,concrete,Detroit,155.0,1976
Renaissance Center 200 Tower,concrete,Detroit,155.0,1976
Renaissance Center 300 Tower,concrete,Detroit,155.0,1976
Renaissance Center 400 Tower,concrete,Detroit,155.0,1976
One Beacon Street,steel,Boston,154.5,1972
United Nations Secretariat Building,steel,New York City,154.30000305176,1953
810 7th Avenue,steel,New York City,154.22999572754,1970
