name,class,mass,how,year,lat,lon
Ceniceros,L3.7,1025.0,Fell,1988,26.46667,-105.23333000000001
Centerville,H5,45.6,Fell,1956,43.2,-96.91667
Charlotte,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333
Cherokee Springs,LL6,8400.0,Fell,1933,35.03333,-81.88333
Chicora,LL6,303.0,Fell,1938,40.93333,-79.73333000000001
Claxton,L6,1455.0,Fell,1984,32.1025,-81.87278
Colby (Wisconsin),L6,104000.0,Fell,1917,44.9,-90.28333
Coleman,L6,469.0,Fell,1994,43.761109999999995,-84.50778000000001
Cosina,H5,1200.0,Fell,1844,21.16667,-100.86667
Crescent,CM2,78.4,Fell,1936,35.95,-97.58333
Cross Roads,H5,167.0,Fell,1892,35.63333,-78.13333
Cumberland Falls,Aubrite,17000.0,Fell,1919,36.83333,-84.35
Cynthiana,L/LL4,6000.0,Fell,1877,38.4,-84.25
Danville,L6,2000.0,Fell,1868,34.4,-87.06667
De Cewsville,H6,340.0,Fell,1887,43.0,-80.0
Deal,L6,28.0,Fell,1829,40.25,-74.0
Denver,L6,230.0,Fell,1967,39.7825,-104.93056000000001
Drake Creek,L6,5000.0,Fell,1827,36.4,-86.5
Dresden (Ontario),H6,47700.0,Fell,1939,42.52,-82.26
Eagle,EL6,10000.0,Fell,1947,40.78167,-96.47166999999999
El Paso de Aguila,H5,17226.0,Fell,1977,25.37,-97.37
El Tigre,L6,5000.0,Fell,1993,19.96722,-103.05167
Elbert,LL6,680.5,Fell,1998,39.24667,-104.58816999999999
Estherville,Mesosiderite-A3/4,320000.0,Fell,1879,43.41667,-94.83333
Farmington,L5,89400.0,Fell,1890,39.75,-97.03333
Farmville,H4,56000.0,Fell,1934,35.55,-77.53333
Fayetteville,H4,2360.0,Fell,1934,36.05,-94.16667
Felix,CO3.3,3200.0,Fell,1900,32.53333,-87.16667
Ferguson,OC,220.0,Fell,1889,36.1,-81.41667
Fisher,L6,17600.0,Fell,1894,47.81667,-96.85
Florence,H3,3640.0,Fell,1922,30.83333,-97.76666999999999
Forest City,H5,152000.0,Fell,1890,43.25,-93.66667
Forksville,L6,6067.0,Fell,1924,36.78333,-78.08333
Forsyth,L6,16300.0,Fell,1829,33.01667,-83.96667
Frankfort (stone),Howardite,650.0,Fell,1868,34.48333,-87.83333
Garland,Diogenite-pm,102.0,Fell,1950,41.68333,-112.13333
Grimsby,H5,215.0,Fell,2009,43.2,-79.61667
Hamlet,LL4,3710.0,Fell,1959,41.38333,-86.6
Harleton,L6,8360.0,Fell,1961,32.675,-94.51167
Harrison County,L6,680.0,Fell,1859,38.25,-86.16667
Holbrook,L/LL6,220000.0,Fell,1912,34.9,-110.18333
Homestead,L5,230000.0,Fell,1875,41.8,-91.86667
Honolulu,L5,2420.0,Fell,1825,21.3,-157.86667
Hoxie,OC,266.1,Fell,1963,39.35,-100.45
Independence,L6,880.0,Fell,1917,39.08333,-94.4
Innisfree,L5,4576.0,Fell,1977,53.415,-111.3375
Johnstown,Diogenite,40300.0,Fell,1924,40.35,-104.9
Kendleton,L4,6937.0,Fell,1939,29.45,-96.0
Kilbourn,H5,772.0,Fell,1911,43.58333,-89.6
Kirbyville,Eucrite-mmict,97.7,Fell,1906,30.75,-95.95
Kitchener,L6,202.6,Fell,1998,43.38333,-80.38333
La Charca,OC,399.0,Fell,1878,20.66667,-101.28333
Leedey,L6,51500.0,Fell,1943,35.88333,-99.33333
Leighton,H5,877.0,Fell,1907,34.58333,-87.5
Little Piney,L5,491.0,Fell,1839,37.91667,-92.08333
Lorton,L6,329.7,Fell,2010,38.70066,-77.21163
Lost City,H5,17000.0,Fell,1970,36.00833,-95.15
Louisville,L6,1300.0,Fell,1977,38.25,-85.75
Lumpkin,L6,340.0,Fell,1869,32.03333,-84.76666999999999
Malaga,OC,150.0,Fell,1933,32.21667,-104.0
Mariaville,Iron,340.0,Fell,1898,42.71667,-99.38333
Marion (Iowa),L6,28400.0,Fell,1847,41.9,-91.6
Maryville,L6,1443.0,Fell,1983,35.8,-84.1
Mazapil,"Iron, IAB-sLL",4000.0,Fell,1885,24.683329999999998,-101.68333
Mifflin,L5,3584.0,Fell,2010,42.9075,-90.36556
Miller (Arkansas),H5,16700.0,Fell,1930,35.4,-92.05
Modoc (1905),L6,35000.0,Fell,1905,38.5,-101.1
Monahans (1998),H5,2587.0,Fell,1998,31.60833,-102.85833000000001
Monroe,H4,8600.0,Fell,1849,35.25,-80.5
Moore County,Eucrite-cm,1880.0,Fell,1913,35.41667,-79.38333
Murray,CM2,12600.0,Fell,1950,36.6,-88.1
Nanjemoy,H6,7500.0,Fell,1825,38.41667,-77.16667
New Concord,L6,230000.0,Fell,1860,40.0,-81.76666999999999
New Orleans,H5,19256.0,Fell,2003,29.94718,-90.10976
Nobleborough,Eucrite-pmict,2300.0,Fell,1823,44.08333,-69.48333000000001
Noblesville,H4-6,483.7,Fell,1991,40.08528,-86.055
Norfork,"Iron, IIIAB",1050.0,Fell,1918,36.21667,-92.26666999999999
Norton County,Aubrite,1100000.0,Fell,1948,39.68333,-99.86667
Nuevo Mercurio,H5,50000.0,Fell,1978,24.3,-102.13333
Orlando,Eucrite,180.0,Fell,2004,28.5475,-81.36222
Ottawa,LL6,840.0,Fell,1896,38.6,-95.21667
Pacula,L6,3400.0,Fell,1881,21.05,-99.3
Palmyra,L3,135.0,Fell,1926,39.8,-91.5
Palolo Valley,H5,682.0,Fell,1949,21.3,-157.78333
Paragould,LL5,408000.0,Fell,1930,36.06667,-90.5
Park Forest,L5,18000.0,Fell,2003,41.48472,-87.67917
Pasamonte,Eucrite-pmict,5100.0,Fell,1933,36.21667,-103.4
Peace River,L6,45760.0,Fell,1963,56.13333000000001,-117.93333
Peekskill,H6,12570.0,Fell,1992,41.28333,-73.91667
Peña Blanca Spring,Aubrite,70000.0,Fell,1946,30.125,-103.11667
Petersburg,Eucrite-pmict,1800.0,Fell,1855,35.3,-86.63333
Phillips County (stone),L6,57900.0,Fell,1901,40.0,-99.25
Pitts,"Iron, IAB-ung",3760.0,Fell,1921,31.95,-83.51666999999999
Plantersville,H6,2085.0,Fell,1930,30.7,-96.11667
Portales Valley,H6,71400.0,Fell,1998,34.175,-103.295
Pricetown,L6,900.0,Fell,1893,39.11667,-83.85
Rancho de la Presa,H5,300.0,Fell,1899,19.866670000000003,-100.81667
Red Canyon Lake,H5,18.41,Fell,2007,38.13742,-119.75811999999999
Revelstoke,CI1,1.0,Fell,1965,51.33333,-118.95
Rich Mountain,L6,668.0,Fell,1903,35.03333,-83.03333
Richardton,H5,90000.0,Fell,1918,46.88333,-102.31667
Richland Springs,OC,1900.0,Fell,1980,31.25,-99.03333
Richmond,LL5,1800.0,Fell,1828,37.46667,-77.5
Rochester,H6,340.0,Fell,1876,41.08333,-86.28333
Rose City,H5,10600.0,Fell,1921,44.51667,-83.95
Salem,L6,61.4,Fell,1981,44.97917,-122.96943999999999
San Juan Capistrano,H6,56.0,Fell,1973,33.48472,-117.6625
San Pedro Jacuaro,LL6,460.0,Fell,1968,19.76667,-100.65
Santa Cruz,CM2,60.0,Fell,1939,24.16667,-99.33333
Schenectady,H5,283.3,Fell,1968,42.86083,-73.95028
Searsmont,H5,5400.0,Fell,1871,44.36667,-69.2
Sharps,H3.4,1265.0,Fell,1921,37.83333,-76.7
Shelburne,L5,18600.0,Fell,1904,44.05,-80.16667
Silao,H5,1710.0,Fell,1995,20.933329999999998,-101.38333
Sioux County,Eucrite-mmict,4100.0,Fell,1933,42.58333,-103.66667
St. Louis,H4,1000.0,Fell,1950,38.7,-90.23333000000001
St. Mary's County,LL3.3,24.3,Fell,1919,38.16667,-76.38333
Stratford,L6,50.0,Fell,1974,41.2,-73.13333
St-Robert,H5,25400.0,Fell,1994,45.96861,-72.97806
Success,L6,3500.0,Fell,1924,36.48333,-90.66667
Sutter's Mill,C,992.5,Fell,2012,38.80389,-120.90806
Sylacauga,H4,5560.0,Fell,1954,33.188359999999996,-86.2945
Tagish Lake,C2-ung,10000.0,Fell,2000,59.704440000000005,-134.20139
Tilden,L6,74800.0,Fell,1927,38.2,-89.68333
Tomatlan,H6,900.0,Fell,1879,20.16667,-105.21667
Torrington,H6,259.1,Fell,1944,42.06667,-104.16667
Troup,L6,1020.0,Fell,1917,32.16667,-95.1
Turtle Lake,L5,89.3,Fell,1996,45.34583,-92.05167
Tuxtuac,LL5,30000.0,Fell,1975,21.66667,-103.36667
Vernon County,H6,1500.0,Fell,1865,43.5,-91.16667
Vilna,L5,0.1,Fell,1967,54.225,-111.69167
Walters,L6,28100.0,Fell,1946,34.33333,-98.3
Warrenton,CO3.7,1600.0,Fell,1877,38.68333,-91.15
Washougal,Howardite,225.0,Fell,1939,45.58333,-122.35
Weston,H4,150000.0,Fell,1807,41.266667,-73.266667
Wethersfield (1971),L6,350.0,Fell,1971,41.7,-72.65
Wethersfield (1982),L6,2756.0,Fell,1982,41.71056,-72.67361
Whetstone Mountains,H5,2138.74,Fell,2009,31.96185,-110.434183
Worden,L5,1551.0,Fell,1997,42.38467,-83.6115
Yorktown (New York),L5,250.0,Fell,1869,41.28333,-73.81667
Abajo,H5,331.0,Found,1982,26.8,-105.41667
Abbott,H3-6,21100.0,Found,1951,36.3,-104.28333
Abernathy,L6,2914.0,Found,1941,33.85,-101.8
Achilles,H5,16000.0,Found,1924,39.77667,-100.81333000000001
Ackerly,L5,3046.0,Found,1995,32.59033,-101.77216999999999
Acme,H5,75000.0,Found,1947,33.63333,-104.26666999999999
Acomita,"Pallasite, PMG",3956.0,Found,1962,35.05,-107.56667
Acuña,"Iron, IIIAB",217700.0,Found,1981,29.316670000000002,-100.96667
Adams County,H5,5700.0,Found,1928,39.96667,-103.76666999999999
Admire,"Pallasite, PMG",180000.0,Found,1881,38.7,-96.1
Adrian,H4,22600.0,Found,1936,35.15,-102.71667
Aggie Creek,"Iron, IIIAB",43000.0,Found,1942,64.88333,-163.16666999999998
Ahumada,"Pallasite, PMG",52600.0,Found,1909,30.7,-105.5
Aiken,OC,956.0,Found,1936,34.2,-101.5
Ainsworth,"Iron, IIAB",80650.0,Found,1907,42.6,-99.8
Akron (1940),H6,1050.0,Found,1940,40.15,-103.16667
Akron (1961),L6,4000.0,Found,1961,40.15,-103.16667
Alamogordo,H5,13600.0,Found,1938,32.9,-105.93333
Alamosa,L6,1800.0,Found,1937,37.46667,-105.86667
Albin (pallasite),"Pallasite, PMG",37600.0,Found,1915,41.5,-104.1
Albin (stone),L,15400.0,Found,1949,41.41667,-104.1
Albion,"Iron, IVA",12280.0,Found,1966,46.83333,-117.25
Aldama (a),"Iron, IIIAB",11000.0,Found,1985,28.83333,-105.86667
Aldama (b),H5,66.5,Found,1996,25.05,-106.0
Alexander County,"Iron, IAB complex",192.0,Found,1875,35.75,-81.25
Algoma,"Iron, IAB-sHL",4100.0,Found,1887,44.65,-87.46667
Alkali,H6,30.47,Found,1998,37.86667,-117.4
Alkali Flat,L5,28.0,Found,2011,32.306,-108.9038
Allen,H4,1407.0,Found,1923,33.1,-96.7
Allred,L4,6570.0,Found,1978,33.1,-102.95
Almelo Township,L5,3180.0,Found,1949,39.6,-100.11667
Altonah,"Iron, IVA",21500.0,Found,1932,40.56667,-110.48333000000001
Alvord,"Iron, IVA",17500.0,Found,1976,43.32222,-96.28889000000001
Amber,L6,4532.0,Found,1934,35.16667,-97.88333
Ameca-Ameca,Iron,1.2,Found,1889,20.58333,-104.06667
Amherst,L6,8500.0,Found,1947,40.8,-99.2
Angelica,"Iron, IIIAB",14800.0,Found,1916,44.25,-88.25
Annaheim,"Iron, IAB-sLL",13500.0,Found,1916,52.33333,-104.86667
Anoka,"Iron, IAB-sLM",1108.0,Found,1961,45.2,-93.43333
Anson,L6,3900.0,Found,1972,39.33333,-97.56166999999999
Antelope,H4,754.0,Found,2012,40.90183,-118.54465
Anthony,H5,20000.0,Found,1919,37.08333,-98.05
Anthony Gap,L6,347.36,Found,2011,32.00584,-106.56028
Anton,H4,41800.0,Found,1965,33.7825,-102.18111
Apex,L6,6.1,Found,1938,39.75,-105.2
Apoala,"Iron, IIIAB",85000.0,Found,1889,17.7,-97.0
Arapahoe,L5,19083.0,Found,1940,38.8,-102.2
Arcadia,LL6,19400.0,Found,1937,41.41667,-99.1
Arch,CV3,985.8,Found,1972,34.15,-103.22
Arches,L5,534.0,Found,2001,38.68867,-109.58516999999999
Argonia,"Pallasite, PMG-an",84.0,Found,1940,37.26667,-97.76666999999999
Arispe,"Iron, IC",683000.0,Found,1896,30.33333,-109.98333000000001
Arivaca,Eucrite-mmict,30.1,Found,1999,31.593909999999997,-111.37023
Arlington,"Iron, IIE-an",8940.0,Found,1894,44.6,-94.1
Armel,L5,9200.0,Found,1967,39.76667,-102.13333
Arriba,L5,31100.0,Found,1936,39.3,-103.25
Asheville,"Iron, IIIAB",800.0,Found,1839,35.58333,-82.53333
Ashfork,"Iron, IAB-MG",27000.0,Found,1901,35.25,-112.5
Ashmore,H5,55400.0,Found,1969,32.9,-102.28333
Atlanta,EL6,5500.0,Found,1938,31.8,-92.75
Attica,H4,5622.0,Found,1996,37.25,-98.13333
Atwood,L6,2100.0,Found,1963,40.51667,-103.26666999999999
Atwood (b),OC,77.0,Found,1964,40.51667,-103.26666999999999
Aubrey Hills,H6,560.8,Found,2010,34.38063,-114.16705
Auburn,"Iron, IIG",3630.0,Found,1867,32.63333,-85.5
Augusta County,"Iron, IIIAB",76000.0,Found,1858,38.16667,-79.08333
Aurora,H4,1000.0,Found,1938,36.33333,-105.05
Axtell,CV3,6200.0,Found,1943,31.66,-96.97166999999999
Babb's Mill (Blake's Iron),"Iron, ungrouped",136000.0,Found,1876,36.3,-82.88333
Babb's Mill (Troost's Iron),"Iron, ungrouped",6400.0,Found,1842,36.3,-82.88333
Bacubirito,"Iron, ungrouped",22000000.0,Found,1863,26.2,-107.83333
Bagdad,"Iron, IIIAB",2200.0,Found,1959,34.613316999999995,-113.398967
Bald Eagle,"Iron, IIIAB",3200.0,Found,1891,41.28333,-77.05
Ballinger,"Iron, IAB-MG",1250.0,Found,1927,31.76667,-99.98333000000001
Barrilla,H5,11100.0,Found,1994,30.78333,-103.46667
Bartlett,"Iron, IIIAB",8590.0,Found,1938,30.83333,-97.5
Barwise,H5,10400.0,Found,1950,34.0,-101.5
Batesland,H5,2500.0,Found,1961,43.13333,-102.1
Bayard,L5,75000.0,Found,1982,41.81667,-103.36667
Bear Creek,"Iron, IIIAB",227000.0,Found,1866,39.6,-105.3
Bear Lodge,"Iron, IIIAB",48500.0,Found,1931,44.5,-104.2
Beaver,L5,25628.0,Found,1940,36.8,-100.53333
Beaver-Harrison,L6,925.0,Found,1979,38.48417,-113.13638999999999
Beeler,LL6,11620.0,Found,1924,38.53333,-100.21667
Beenham,L5,44400.0,Found,1937,36.21667,-103.65
Beer Bottle Pass,L5,8.9,Found,1999,35.66117,-115.33333
Bella Roca,"Iron, IIIAB",33000.0,Found,1888,24.9,-105.4
Belle Plaine,L6,78800.0,Found,1950,37.31667,-97.25
Belly River,H6,7900.0,Found,1943,49.5,-113.0
Belmont,H6,25300.0,Found,1958,42.73333,-90.35
Benedict,"Iron, IIIAB",16380.0,Found,1970,41.0,-97.53333
Benjamin,H4/5,51800.0,Found,1969,33.58333,-99.8
Bennett County,"Iron, IIAB",89000.0,Found,1934,43.5,-101.25
Bernic Lake,"Iron, IAB-MG",9162.0,Found,2002,50.43845,-95.52937
Bethel (a),OC,18.3,Found,1968,34.23333,-103.38333
Bethel (b),H4,56.8,Found,1968,34.24667,-103.395
Bethune,EH4/5,67.0,Found,1941,39.3,-102.41667
Big Horn Mountains,H4,91.9,Found,2006,33.71333,-113.275
Billings,"Iron, IIIAB",24500.0,Found,1903,37.06667,-93.55
Bishop Canyon,"Iron, IVA",8600.0,Found,1912,38.0,-108.5
Bison,LL6,11000.0,Found,1958,38.306670000000004,-99.71
Black Mountain,"Iron, IAB-MG",800.0,Found,1839,35.58333,-82.35
Black Rock 001,L6,152.0,Found,2003,40.86717,-119.18352
Blackwater Draw,H4,1500.0,Found,1979,34.20583,-103.22222
Blackwood Creek,H6,67.0,Found,1998,40.5,-101.08333
Blaine Lake,L6,1896.4,Found,1974,52.77,-106.89667
Blakeman,L4,113.7,Found,1983,39.91667,-101.2
Bledsoe,H4,30500.0,Found,1970,33.59167,-103.02667
Blithfield,EL6,1830.0,Found,1910,45.5,-77.0
Blue Eagle,R3-6,70.0,Found,2006,38.66167,-115.51833
Bluebird,L6,3650.0,Found,2002,35.8675,-114.19167
Bluewater,"Iron, IIIAB",9540.0,Found,1946,35.26667,-107.96667
Bluewing 001,Eucrite-mmict,6.1,Found,2000,40.2495,-118.93683
Bluewing 002,H5,23.0,Found,1999,40.241479999999996,-118.94763
Bluewing 003,L6,95.0,Found,1999,40.267520000000005,-118.94308000000001
Bluewing 004,L5,113.0,Found,1999,40.27537,-118.9461
Bluewing 005,L5,7200.0,Found,1999,40.28563,-118.94657
Bluewing 006,L6,355.0,Found,1999,40.28338,-118.94808
Bluewing 007,L4,324.0,Found,1999,40.28247,-118.94872
Bluewing 008,H5,451.7,Found,2001,40.27957,-118.94641999999999
Bluewing 029,H6,83.8,Found,2006,40.2628,-118.95912
Bluewing 030,H5,18.81,Found,1999,40.26667,-118.93333
Bluewing 031,H5,170.0,Found,1999,40.26667,-118.93333
Bluewing 032,L5,78.0,Found,1999,40.26667,-118.93333
Bluewing 033,L5,287.44,Found,1999,40.26667,-118.93333
Bluewing 034,H5,34.0,Found,1999,40.26667,-118.93333
Bluewing 035,L6,12.56,Found,1999,40.26667,-118.93333
Bluewing 036,L6,10.47,Found,1999,40.26667,-118.93333
Bluewing 037,H5,37.2,Found,2009,40.2819,-118.94693000000001
Bluff (a),L5,153300.0,Found,1878,29.87861,-96.87222
Bluff (b),L4,16000.0,Found,1917,29.863059999999997,-96.92667
Boaz (stone),H5,1800.0,Found,1968,33.65167,-103.70833
Boerne,H6,1100.0,Found,1932,29.8,-98.8
Bonita Springs,H5,41800.0,Found,1938,26.26667,-81.75
Bonnie Claire 001,H5,23.03,Found,1998,37.21667,-117.08333
Bonnie Claire 002,H5,80.8,Found,1998,37.21667,-117.08333
Borrego,L6,2126.0,Found,1930,33.26667,-116.38333
Botetourt County,Iron,500.0,Found,1850,37.5,-79.75
Boulder Mine,L5,1560.0,Found,2008,34.685,-114.323
Bouse,L4-6,147.4,Found,2004,33.96667,-114.06667
Bowesmont,L6,2270.0,Found,1962,48.68333,-97.16667
Bowesmont (b),L5,1300.0,Found,1972,48.78333,-97.35
Brady,L6,927.0,Found,1937,31.05,-99.46667
Brainard,"Iron, IIIAB",138300.0,Found,1978,41.15333,-96.955
Brandon,L6/7,7580.0,Found,1975,40.81,-101.80167
Brenham,"Pallasite, PMG-an",4300000.0,Found,1882,37.5825,-99.16360999999999
Brewster,L6,17000.0,Found,1940,39.25,-101.33333
Bridgewater,"Iron, IID",13600.0,Found,1890,35.71667,-81.86667
Briggsdale,"Iron, IIIAB",2230.0,Found,1949,40.66667,-104.31667
Briscoe,L5,1773.0,Found,1940,34.35,-101.4
Bristol,"Iron, IVA",20000.0,Found,1937,36.56667,-82.18333
Broken Bow,H4,6800.0,Found,1937,41.43333,-99.7
Bronco,OC,972.0,Found,1971,33.28333,-102.96667
Bronco (b),OC,101.0,Found,1980,33.275,-102.96
Bronco (c),OC,53.0,Found,1980,33.275,-102.96
Brownell,L6,2000.0,Found,1971,38.696670000000005,-99.70833
Brownfield (1937),H3.7,40960.0,Found,1937,33.21667,-102.18333
Brownfield (1964),H5,4100.0,Found,1964,33.21667,-102.18333
Brownfield (c),OC,1550.0,Found,1974,33.135,-102.27833000000001
Brownfield (iron),"Iron, IID",1626.0,Found,1960,33.21667,-102.18333
Bruceville,L6,83000.0,Found,1998,38.295,-121.405
Bruno,"Iron, IIAB",13000.0,Found,1931,52.26667,-105.35
Buck Mountain Wash,H3-5,798.0,Found,2004,34.72453,-114.20883
Buck Mountains 001,H6,50.0,Found,2004,34.73245,-114.22256999999999
Buck Mountains 002,L6,18.4,Found,2004,34.71933,-114.20783
Buck Mountains 003,L6,34200.0,Found,2005,34.7345,-114.21717
Buck Mountains 004,H3-6,145.8,Found,2005,34.70108,-114.18845
Buck Mountains 005,L6,859.7,Found,2007,34.70337,-114.19097
Buenaventura,"Iron, IIIAB",113600.0,Found,1969,29.8,-107.55
Buffalo Gap,"Iron, IAB-ung",9300.0,Found,2003,32.246109999999994,-99.99306
Bunker Hill,L6,28000.0,Found,2002,38.84833,-98.72383
Burdett,H5,8600.0,Found,1940,38.23333,-99.53333
Burkett,"Iron, IAB-MG",8400.0,Found,1913,32.03333,-99.25
Burlington,"Iron, IIIE",68000.0,Found,1819,42.75,-75.18333
Burns,"Iron, IIIAB",18400.0,Found,2003,39.86667,-106.88333
Burns Flat,L6,1987.0,Found,1971,35.33333,-99.15
Burstall,"Iron, IAB complex",360.0,Found,1992,50.65,-109.9
Bushnell,H4,1240.0,Found,1939,41.23333,-103.9
Butler,"Iron, ungrouped",41000.0,Found,1874,38.3,-94.36667
Cacaria,"Iron, IIIAB",41400.0,Found,1867,24.5,-104.8
Caddo County,"Iron, IAB-ung",18000.0,Found,1987,35.0,-98.33333
Caldwell,L-imp melt,12900.0,Found,1961,37.03333,-97.625
Calico Rock,"Iron, IIAB",7275.0,Found,1938,36.08333,-92.15
Calliham,L6,40000.0,Found,1958,28.41667,-98.25
Cambria,"Iron, ungrouped",16300.0,Found,1818,43.2,-78.8
Camp Creek,H4,3016.0,Found,2009,33.88098,-111.78558000000001
Campbellsville,"Iron, IIIAB",15400.0,Found,1929,37.36667,-85.36667
Canton,"Iron, IIIAB",7030.0,Found,1894,34.2,-84.48333000000001
Canyon,H?,860.0,Found,1957,34.96667,-101.93333
Canyon City,"Iron, IIIAB",8600.0,Found,1875,40.9,-123.1
Canyon Diablo,"Iron, IAB-MG",30000000.0,Found,1891,35.05,-111.03333
Canyonlands,H6,1520.0,Found,1961,38.18333,-109.88333
Cape York,"Iron, IIIAB",58200000.0,Found,1818,76.13333,-64.93333
Carbo,"Iron, IID",454000.0,Found,1923,29.66667,-111.5
Cargo Muchacho Mountains,CO3,2860.0,Found,2000,32.91745,-114.767183
Carichic,H5,17000.0,Found,1983,27.933329999999998,-107.05
Carlton,"Iron, IAB-sLM",81200.0,Found,1887,31.91667,-98.03333
Carnegie,L6,132700.0,Found,1963,35.16667,-98.64389
Carthage,"Iron, IIIAB",127000.0,Found,1840,36.26667,-85.98333000000001
Carver,"Iron, IIAB",94000.0,Found,1935,32.0,-86.0
Casas Grandes,"Iron, IIIAB",1545000.0,Found,1867,30.4,-107.8
Casey County,"Iron, IAB-MG",723.0,Found,1877,37.25,-85.0
Cashion,H4,5896.8,Found,1936,35.84778,-97.70333000000001
Cat Mountain,L5,2700.0,Found,1981,32.14833,-111.11166999999999
Catherwood,L6,3920.0,Found,1965,51.965,-107.43833000000001
Cave Creek,H4,1492.0,Found,1992,31.7045,-110.77917
Cavour,H6,26210.0,Found,1938,44.221494,-98.05919200000001
Cedar (Kansas),H6,4900.0,Found,1937,39.7,-98.98333000000001
Cedar (Texas),H4,26000.0,Found,1900,29.828059999999997,-96.90861
Cedartown,"Iron, IIAB",11300.0,Found,1898,34.01667,-85.26666999999999
Cee Vee,H5,3600.0,Found,1959,34.2,-100.48333000000001
Cerro los Calvos,H4-an,68.0,Found,1986,24.33333,-102.13333
Chamberlin,H5,2400.0,Found,1941,36.2,-102.45
Chambord,"Iron, IIIAB",6600.0,Found,1904,48.45,-72.06667
Chandler,L6,350.4,Found,2009,33.24558,-111.89633
Channing,H5,15300.0,Found,1936,35.71667,-102.28333
Charcas,"Iron, IIIAB",1400000.0,Found,1804,23.08333,-101.01666999999999
Chesterville,"Iron, IIAB",16500.0,Found,1849,34.7,-81.2
Chicago Valley,L5,26.0,Found,2004,36.00217,-116.19633
Chico,L6,104800.0,Found,1954,36.5,-104.2
Chico Hills,H4,8030.0,Found,1951,36.0,-104.5
Chico Mountains,"Iron, IIAB",212.0,Found,1915,29.0,-103.25
Chihuahua City,"Iron, IC",54000.0,Found,1929,28.66667,-106.11667
Chilkoot,"Iron, IIIAB",43000.0,Found,1881,59.333330000000004,-136.0
Chocolate Mountains,Ureilite,699.0,Found,2004,33.01222,-114.86667
Chuckwalla,"Iron, IAB-MG",1802.0,Found,1992,35.25,-118.09066999999999
Chulafinnee,"Iron, IIIAB",16220.0,Found,1873,33.5,-85.66667
Chupaderos,"Iron, IIIAB",24300000.0,Found,1852,27.0,-105.1
Cincinnati,"Iron, IIAB",1500.0,Found,1870,39.11667,-84.5
Circle Back,L6,2268.0,Found,1977,34.028059999999996,-102.68
Clarendon (a),H5,1964.0,Found,1979,34.905,-100.91333
Clarendon (b),H5,26.8,Found,1981,34.93611,-100.94167
Clareton,L6,1050.0,Found,1931,43.7,-104.7
Clark County,"Iron, IIIF",11300.0,Found,1937,38.0,-84.16667
Claytonville,L5,15600.0,Found,1964,34.34667,-101.49
Claytonville (b),OC,5136.0,Found,1978,34.34833,-101.65833
