company,ceo,party,amount
Amerigroup,Emerson Fullwood,100,850.0
Amerigroup,James Carlson,100,5300.0
Amerigroup,James Carlson,200,11600.0
Amerigroup,Jeffrey Child,100,500.0
Amerigroup,John Snow,100,660.0
Amerigroup,John Snow,200,162700.0
Amerigroup,Richard Shirk,100,500.0
Amerigroup,Richard Shirk,200,12550.0
Amerigroup,Thomas Capps,100,250.0
Amerigroup,Thomas Capps,200,29442.68
Amerigroup,Tom Capps,200,1000.0
Ameriprise Financial Inc,H Sarles,200,3500.0
Ameriprise Financial Inc,H jay Sarles,200,1000.0
Ameriprise Financial Inc,James Cracchiolo,100,1800.0
Ameriprise Financial Inc,Lon Greenberg,100,2500.0
Ameriprise Financial Inc,Lon Greenberg,200,6000.0
Ameriprise Financial Inc,Lon r & bonnie Greenberg,200,1500.0
Ameriprise Financial Inc,Rob Sharpe,200,2400.0
Ameriprise Financial Inc,Robert Sharpe,200,14250.0
Ameriprise Financial Inc,W Lewis,200,5000.0
Ameriprise Financial Inc,Walker Lewis,200,2500.0
Ameriprise Financial Inc,Warren Knowlton,200,700.0
Amerisourcebergen Corp,Edward Hagenlocker,200,24500.0
Amerisourcebergen Corp,Henry Mcgee,100,19800.02
Amerisourcebergen Corp,Kathleen Hyle,100,1500.0
Amerisourcebergen Corp,Kathleen Hyle,200,3250.0
Amerisourcebergen Corp,Richard Gochnauer,100,500.0
Amerisourcebergen Corp,Steve Collis,100,2167.0
Amerisourcebergen Corp,Steven Collis,100,2500.0
Amerisourcebergen Corp,Steven Collis,200,4000.0
Amgen Inc,Bob Bradway,100,4800.0
Amgen Inc,David Baltimore,100,4250.0
Amgen Inc,Frank Biondi,100,4200.0
Amgen Inc,"Frank Biondi,",100,500.0
Amgen Inc,Frank Herringer,200,3500.0
Amgen Inc,Gil Omenn,100,10.0
Amgen Inc,Gilbert Omenn,100,13805.0
Amgen Inc,Gilbert Omenn,200,3400.0
Amgen Inc,Judith Pelham,100,3475.0
Amgen Inc,Kevin Sharer,100,19700.0
Amgen Inc,Kevin Sharer,200,186600.0
Amgen Inc,Leonard Schaeffer,100,250.0
Amgen Inc,Rebecca Henderson,100,5000.0
Amgen Inc,Robert Bradway,100,26900.0
Amgen Inc,Robert Bradway,200,39800.0
Anadarko Petroleum Corp,Charles Goodyear,200,2500.0
Anadarko Petroleum Corp,Eric Mullins,100,25500.0
Anadarko Petroleum Corp,James Hackett,100,9700.0
Anadarko Petroleum Corp,James Hackett,200,232708.63
Anadarko Petroleum Corp,Jim Hackett,200,6500.0
Anadarko Petroleum Corp,John Gordon,200,44500.0
Anadarko Petroleum Corp,Lucius Corbett,200,2500.0
Anadarko Petroleum Corp,Luke Corbet,200,2500.0
Anadarko Petroleum Corp,Paula Reynolds,100,6450.0
Anadarko Petroleum Corp,Paula Reynolds,200,9800.0
Anadarko Petroleum Corp,Paula Rosput reynolds,200,2500.0
Anadarko Petroleum Corp,Pete Geren,100,2000.0
Anadarko Petroleum Corp,Pete Geren,200,3100.0
Anadarko Petroleum Corp,Peter Fluor,200,10300.0
Anadarko Petroleum Corp,R Walker,200,2000.0
Anixter International,F Handy,200,118500.0
Anixter International,F phil Handy,200,5000.0
Anixter International,F philip Handy,200,11100.0
Anixter International,F phillip Handy,200,7400.0
Anixter International,Frank Handy,200,8500.0
Anixter International,George Munoz,100,15400.0
Anixter International,Linda Bynoe,100,3000.0
Anixter International,Matt Zell,200,2000.0
Anixter International,Matthew Zell,100,5250.0
Anixter International,Matthew Zell,200,73300.0
Anixter International,Melvin Klein,100,500.0
Anixter International,Melvyn Klein,100,1000.0
Anixter International,Melvyn Klein,200,3250.0
Anixter International,Phil Handy,200,10000.0
Anixter International,Philip Handy,200,1000.0
Anixter International,Phillip Handy,200,500.0
Anixter International,Robert Eck,200,3000.0
Anixter International,Sam Zell,200,31500.0
Anixter International,Samuel Zell,100,9400.0
Anixter International,Samuel Zell,200,288400.0
Aon Corp,Edgar Jannotta,200,120860.0
Aon Corp,Greg Case,200,10000.0
Aon Corp,Lester Knight,100,4000.0
Aon Corp,Lester Knight,200,148900.0
Aon Corp,Robert Morrison,200,47500.0
Apache Corp,Bill Montgomery,200,10000.0
Apache Corp,Eugene Fiedorek,200,2500.0
Apache Corp,G steven Farris,100,7500.0
Apache Corp,G steven Farris,200,5500.0
Apache Corp,Patricia Graham,100,150.0
Apple Inc,Al Gore,100,3900.0
Apple Inc,Albert Gore,100,28510.0
Apple Inc,Andrea Jung,100,1000.0
Apple Inc,Arthur Levinson,100,21220.0
Apple Inc,Millard Drexler,100,105100.0
Apple Inc,Robert Iger,100,185300.0
Apple Inc,Roger Iger,100,4800.0
Apple Inc,William Campbell,100,75500.0
Apple Inc,William Campbell,200,7500.0
Applied Materials,Aart Degeus,100,21900.0
Applied Materials,Aart j Degeus,100,2500.0
Applied Materials,Alexander Karsner,200,12500.0
Applied Materials,James Morgan,200,500.0
Applied Materials,James Rogers,100,463918.0
Applied Materials,James Rogers,200,37302.0
Applied Materials,Mike Splinter,200,20000.0
Applied Materials,Stephen Forrest,100,1500.0
Aramark Corp,Stephen Murray,200,32500.0
Archer-Daniels-Midland Co,Alan Boeckmann,200,120145.0
Archer-Daniels-Midland Co,D Andreas,100,500.0
Archer-Daniels-Midland Co,Donald Felsinger,100,500.0
Archer-Daniels-Midland Co,George Buckley,100,2000.0
Archer-Daniels-Midland Co,Kelvin Westbrook,100,13410.0
Archer-Daniels-Midland Co,Kelvin Westbrook,200,250.0
Archer-Daniels-Midland Co,Mollie Carter,200,6000.0
Archer-Daniels-Midland Co,Pat Moore,200,2500.0
Archer-Daniels-Midland Co,Patricia Woertz,100,80000.0
Archer-Daniels-Midland Co,Patrick Moore,200,27800.0
Archer-Daniels-Midland Co,Victoria Haynes,100,500.0
Arrow Electronics Inc,& Hanson,200,1500.0
Arrow Electronics Inc,Barry Perry,200,660.0
Arrow Electronics Inc,John Hanson,200,24250.0
Arrow Electronics Inc,John nils Hanson,200,500.0
Arrow Electronics Inc,Philip Asherman,200,73650.0
Ashland,George Scaefer,200,1000.0
Ashland,George Schaefer,200,23450.0
Ashland,"George Schaefer,",200,2500.0
Ashland,George Schaeffer,200,1000.0
Ashland,James Obrien,100,10000.0
Ashland,James Obrien,200,6000.0
Ashland,Kathleen Ligocki,100,6750.0
Ashland,Kathleen Ligocki,200,1000.0
Ashland,Mark Rohr,200,2500.0
Ashland,Michael Ward,100,38900.0
Ashland,Michael Ward,200,237000.0
Ashland,Roger Hale,100,6500.0
Ashland,Vada Manager,100,7513.309999999998
Assurant,Charles Koch,100,1500.0
Assurant,Charles Koch,200,25400.0
Assurant,David Kelso,200,7000.0
Assurant,Elaine Rosen,200,500.0
Assurant,H carroll Mackin,100,5000.0
Assurant,Howard Carver,200,3350.0
Assurant,Juan Cento,200,3000.0
Assurant,Lawrence Jackson,100,1000.0
Assurant,Paul Reilly,200,12900.0
Assurant,Robert Pollock,200,5750.0
Auto-Owners Insurance Group,Jeffrey Harrold,200,3600.0
Autoliv,Bob Alspaugh,200,10000.0
Autoliv,James Ringler,200,5000.0
Autoliv,Robert Alspaugh,200,5750.0
Automatic Data Processing,Carlos Rodriguez,200,2500.0
Automatic Data Processing,Ellen Alemany,100,4000.0
Automatic Data Processing,Enrique Salem,100,6400.0
Automatic Data Processing,Eric Fas,200,3500.0
Automatic Data Processing,Eric Fast,200,25650.0
Automatic Data Processing,Gregory Brenneman,100,1000.0
Automatic Data Processing,Gregory Brenneman,200,82900.0
Automatic Data Processing,Gregory Summe,200,1000.0
Automatic Data Processing,Linda Gooden,100,5250.0
Automatic Data Processing,Linda Gooden,200,2000.0
Automatic Data Processing,Robert Hubbard,100,1000.0
Automatic Data Processing,Robert Hubbard,200,14900.0
Autonation Inc,Carlos Migoya,100,1000.0
Autonation Inc,Carlos Migoya,200,2000.0
Autonation Inc,David Edelson,100,500.0
Autonation Inc,David Edelson,200,750.0
Autonation Inc,Michael Maroone,100,500.0
Autonation Inc,Michael Maroone,200,112800.0
Autonation Inc,Mike Jackson,200,100000.0
Autonation Inc,Mike Maroone,100,5000.0
Autonation Inc,Rick Burdick,200,1500.0
Autonation Inc,Robert Brown,100,1700.0
Autonation Inc,Robert Brown,200,750.0
Autonation Inc,Robert Grusky,200,16250.0
Autonation Inc,William Crowley,200,2400.0
Autozone,Bill Rhodes,200,6500.0
Autozone,Earl Graves,100,2000.0
Autozone,Earl Graves,200,2000.0
Autozone,George Mrkonic,200,10900.0
Autozone,Hyde Hyde,200,2500.0
Autozone,J Hyde,100,6400.0
Autozone,J Hyde,200,225900.0
Autozone,J r Hyde,100,2500.0
Autozone,Jr Hyde,200,2000.0
Autozone,W Mckenna,200,1000.0
Autozone,W andrew Mckenna,200,3550.0
Autozone,William Rhodes,100,1500.0
Autozone,William Rhodes,200,6000.0
Avaya Inc,Afshin Mohebbi gilami,200,7500.0
Avaya Inc,Charles Giancarlo,100,8140.0
Avaya Inc,Charles Giancarlo,200,139200.0
Avaya Inc,David Roux,100,11500.0
Avaya Inc,David Roux,200,2000.0
Avaya Inc,Eugene Frantz,100,2000.0
Avaya Inc,Eugene Frantz,200,1000.0
Avaya Inc,Gregory Mondre,100,3400.0
Avaya Inc,Gregory Mondre,200,10000.0
Avaya Inc,Kevin Rollins,200,219975.0
Avery Dennison,Bradley Alford,200,6000.0
Avery Dennison,Charles Noski,100,2000.0
Avery Dennison,Charles Noski,200,3000.0
Avery Dennison,Dean Scarborough,100,9700.0
Avery Dennison,Dean Scarborough,200,53400.0
Avery Dennison,H russell Smith,200,2500.0
Avery Dennison,John & phyllis Cardis,200,400.0
Avery Dennison,John Cardis,100,1000.0
Avery Dennison,Julia Stewart,200,1250.0
Avery Dennison,Ken Hicks,200,202400.0
Avery Dennison,Kenneth Hicks,200,500.0
Avery Dennison,Peter Barker,100,4000.0
Avery Dennison,Peter Barker,200,79700.0
Avery Dennison,Peter Mullin,100,10600.0
Avery Dennison,Peter Mullin,200,61900.0
Avis Budget Group,Eduardo Mestre,100,3000.0
Avis Budget Group,Eduardo Mestre,200,1000.0
Avis Budget Group,Martin Edelman,100,195795.0
Avis Budget Group,Martin Edelman,200,1000.0
Avis Budget Group,Marty Edelman,100,500.0
Avis Budget Group,Mary Choksi,200,6800.0
Avis Budget Group,Stender Sweeney,200,1550.0
Avnet Inc,James Lawrence,100,75535.0
Avnet Inc,James Lawrence,200,2500.0
Avnet Inc,Jim Lawrence,100,27700.0
Avnet Inc,Richard Hamada,200,5840.0
Avnet Inc,Roy Vallee,200,11840.0
Avnet Inc,Veronica Biggins,100,250.0
Avnet Inc,William Sullivan,200,2500.0
Avon Products INc,Ann Moore,100,1000.0
Avon Products INc,Douglas Conant,200,3000.0
Avon Products INc,Gary Rodkin,100,6000.0
Avon Products INc,Gary Rodkin,200,2000.0
Avon Products INc,Paula Stern,100,8525.0
Avon Products Inc,Fred Hassan,100,15000.0
Avon Products Inc,Fred Hassan,200,69700.0
Avon Products Inc,Lawrence Weinbach,200,2000.0
BB&T Corp,Anna Cablik,200,15173.5
BB&T Corp,J Glover,200,4500.0
BB&T Corp,J littleton Glover,100,500.0
BB&T Corp,J littleton Glover,200,7000.0
BB&T Corp,John Allison,200,57550.0
BB&T Corp,"John Allison,",200,500.0
BB&T Corp,John Glover,100,250.0
BB&T Corp,John a Allison,200,500.0
BB&T Corp,Kelly King,200,9200.0
BB&T Corp,Nido Qubein,100,12750.0
BB&T Corp,Nido Qubein,200,8050.0
BB&T Corp,Ronald Deal,100,500.0
BB&T Corp,Stephen Williams,100,6000.0
BB&T Corp,Stephen Williams,200,45300.0
BB&T Corp,Steve Williams,200,3500.0
BB&T Corp,Thomas Skains,100,2500.0
BB&T Corp,Thomas Skains,200,38750.0
BB&T Corp,Thomas Thompson,100,5850.0
BB&T Corp,Thomas e Skains,200,2500.0
BB&T Corp,Tommy Thompson,100,700.0
BB&T Corp,Valeria Lee,100,200.0
Baker Hughes Inc,Charles Watson,200,55000.0
Baker Hughes Inc,Chuck Watson,200,2500.0
Baker Hughes Inc,Clarence Cazalot,100,18400.0
Baker Hughes Inc,Clarence Cazalot,200,202600.0
Baker Hughes Inc,Clarence p Cazalot,200,7500.0
Baker Hughes Inc,H john Riley,200,1000.0
Baker Hughes Inc,J Nichols,200,114800.0
Baker Hughes Inc,J larry Nichols,100,10600.0
Baker Hughes Inc,J larry Nichols,200,99500.0
Baker Hughes Inc,James Lash,200,13570.0
Baker Hughes Inc,James Stewart,100,40000.0
Baker Hughes Inc,James Stewart,200,1000.0
Baker Hughes Inc,John Nichols,200,7500.0
Baker Hughes Inc,Larry Nichols,200,115400.0
Baker Hughes Inc,Martin Craighead,200,605.0599999999997
Ball,George Smart,200,10150.0
Ball,John Hayes,200,1750.0
Ball,John Lehman,200,119450.0
Ball,Theodore Solso,200,2000.0
Bank of America Corp,Brian Moynihan,100,14000.0
