State,District,Median Income,Percent voting for Clinton,College%
California,"Congressional District 19 (115th Congress), California",93139,72.9,35.5
California,"Congressional District 2 (115th Congress), California",66604,69.0,40.8
California,"Congressional District 20 (115th Congress), California",67419,70.4,27.9
California,"Congressional District 21 (115th Congress), California",41174,55.2,7.9
California,"Congressional District 22 (115th Congress), California",56524,42.6,24.1
California,"Congressional District 23 (115th Congress), California",54437,36.1,20.8
California,"Congressional District 24 (115th Congress), California",68929,56.7,34.0
California,"Congressional District 25 (115th Congress), California",75367,50.3,27.8
California,"Congressional District 26 (115th Congress), California",76914,57.9,34.1
California,"Congressional District 27 (115th Congress), California",71223,66.0,40.5
California,"Congressional District 28 (115th Congress), California",63940,72.1,46.2
California,"Congressional District 29 (115th Congress), California",50655,77.7,19.2
California,"Congressional District 3 (115th Congress), California",61508,53.0,25.1
California,"Congressional District 30 (115th Congress), California",76778,69.1,42.4
California,"Congressional District 31 (115th Congress), California",58668,57.7,22.7
California,"Congressional District 32 (115th Congress), California",67101,66.6,21.4
California,"Congressional District 33 (115th Congress), California",101956,67.8,65.4
California,"Congressional District 34 (115th Congress), California",40847,83.6,25.4
California,"Congressional District 35 (115th Congress), California",57159,67.7,16.1
California,"Congressional District 36 (115th Congress), California",44567,52.2,20.6
California,"Congressional District 37 (115th Congress), California",55190,85.7,36.9
California,"Congressional District 38 (115th Congress), California",66421,67.0,23.5
California,"Congressional District 39 (115th Congress), California",85188,51.5,41.6
California,"Congressional District 4 (115th Congress), California",74074,39.3,33.3
California,"Congressional District 40 (115th Congress), California",42902,82.2,9.8
California,"Congressional District 41 (115th Congress), California",62069,61.0,18.3
California,"Congressional District 42 (115th Congress), California",76504,41.4,25.0
California,"Congressional District 43 (115th Congress), California",54614,78.4,26.5
California,"Congressional District 44 (115th Congress), California",50890,83.0,12.3
California,"Congressional District 45 (115th Congress), California",97356,49.8,56.0
California,"Congressional District 46 (115th Congress), California",61304,66.3,18.7
California,"Congressional District 47 (115th Congress), California",65450,62.6,32.0
California,"Congressional District 48 (115th Congress), California",88903,47.9,44.6
California,"Congressional District 49 (115th Congress), California",80877,50.7,44.0
California,"Congressional District 5 (115th Congress), California",73006,69.2,31.2
California,"Congressional District 50 (115th Congress), California",71692,39.6,28.2
California,"Congressional District 51 (115th Congress), California",46639,71.8,14.1
California,"Congressional District 52 (115th Congress), California",90854,58.1,57.4
California,"Congressional District 53 (115th Congress), California",69314,64.5,37.8
California,"Congressional District 6 (115th Congress), California",51932,69.2,27.5
California,"Congressional District 7 (115th Congress), California",68735,52.3,32.9
California,"Congressional District 8 (115th Congress), California",49194,39.6,17.1
California,"Congressional District 9 (115th Congress), California",61454,56.6,19.1
Colorado,"Congressional District 1 (115th Congress), Colorado",62718,69.0,47.6
Colorado,"Congressional District 2 (115th Congress), Colorado",75659,56.2,54.3
Colorado,"Congressional District 3 (115th Congress), Colorado",50817,40.0,29.2
Colorado,"Congressional District 4 (115th Congress), Colorado",67878,34.3,34.9
Colorado,"Congressional District 5 (115th Congress), Colorado",62372,33.2,37.0
Colorado,"Congressional District 6 (115th Congress), Colorado",76451,50.2,41.8
Colorado,"Congressional District 7 (115th Congress), Colorado",66063,51.4,32.5
Connecticut,"Congressional District 1 (115th Congress), Connecticut",70215,59.4,36.8
Connecticut,"Congressional District 2 (115th Congress), Connecticut",74784,48.7,35.1
Connecticut,"Congressional District 3 (115th Congress), Connecticut",67774,55.9,36.2
Connecticut,"Congressional District 4 (115th Congress), Connecticut",94862,59.6,48.8
Connecticut,"Congressional District 5 (115th Congress), Connecticut",68904,49.9,36.3
Delaware,"Congressional District (at Large) (115th Congress), Delaware",61757,53.4,31.0
Florida,"Congressional District 1 (115th Congress), Florida",53006,28.2,27.9
Florida,"Congressional District 10 (115th Congress), Florida",50151,61.8,30.3
Florida,"Congressional District 11 (115th Congress), Florida",43610,32.5,20.6
Florida,"Congressional District 12 (115th Congress), Florida",49774,38.8,26.9
Florida,"Congressional District 13 (115th Congress), Florida",48519,49.6,27.8
Florida,"Congressional District 14 (115th Congress), Florida",51410,57.2,35.3
Florida,"Congressional District 15 (115th Congress), Florida",53784,43.1,25.8
Florida,"Congressional District 16 (115th Congress), Florida",55447,43.0,30.7
Florida,"Congressional District 17 (115th Congress), Florida",45508,35.0,21.3
Florida,"Congressional District 18 (115th Congress), Florida",54913,44.1,30.5
Florida,"Congressional District 19 (115th Congress), Florida",54812,37.5,32.3
Florida,"Congressional District 2 (115th Congress), Florida",46062,30.6,23.4
Florida,"Congressional District 20 (115th Congress), Florida",43677,80.2,19.7
Florida,"Congressional District 21 (115th Congress), Florida",55864,58.6,34.3
Florida,"Congressional District 22 (115th Congress), Florida",60159,56.8,37.9
Florida,"Congressional District 23 (115th Congress), Florida",61513,61.9,38.6
Florida,"Congressional District 24 (115th Congress), Florida",38441,82.9,19.4
Florida,"Congressional District 25 (115th Congress), Florida",46247,47.9,22.7
Florida,"Congressional District 26 (115th Congress), Florida",54453,56.8,27.2
Florida,"Congressional District 27 (115th Congress), Florida",51958,58.5,37.5
Florida,"Congressional District 3 (115th Congress), Florida",45970,40.2,25.9
Florida,"Congressional District 4 (115th Congress), Florida",68229,34.1,39.2
Florida,"Congressional District 5 (115th Congress), Florida",40932,61.3,21.4
Florida,"Congressional District 6 (115th Congress), Florida",46882,39.9,23.9
Florida,"Congressional District 7 (115th Congress), Florida",57146,51.4,37.8
Florida,"Congressional District 8 (115th Congress), Florida",50752,37.7,29.0
Florida,"Congressional District 9 (115th Congress), Florida",49899,54.8,24.6
Georgia,"Congressional District 1 (115th Congress), Georgia",50931,40.9,25.0
Georgia,"Congressional District 10 (115th Congress), Georgia",51532,35.8,26.7
Georgia,"Congressional District 11 (115th Congress), Georgia",69610,35.3,41.0
Georgia,"Congressional District 12 (115th Congress), Georgia",43933,40.7,20.9
Georgia,"Congressional District 13 (115th Congress), Georgia",57342,71.0,29.6
Georgia,"Congressional District 14 (115th Congress), Georgia",48691,22.1,18.1
Georgia,"Congressional District 2 (115th Congress), Georgia",35617,55.0,17.6
Georgia,"Congressional District 3 (115th Congress), Georgia",56240,32.8,26.5
Georgia,"Congressional District 4 (115th Congress), Georgia",51686,75.3,29.8
Georgia,"Congressional District 5 (115th Congress), Georgia",48269,85.0,42.0
Georgia,"Congressional District 6 (115th Congress), Georgia",87139,46.8,60.6
Georgia,"Congressional District 7 (115th Congress), Georgia",72481,44.8,39.6
Georgia,"Congressional District 8 (115th Congress), Georgia",44360,34.4,21.8
Georgia,"Congressional District 9 (115th Congress), Georgia",50154,19.3,21.6
Hawaii,"Congressional District 1 (115th Congress), Hawaii",78180,63.1,36.0
Hawaii,"Congressional District 2 (115th Congress), Hawaii",70867,61.4,27.8
Idaho,"Congressional District 1 (115th Congress), Idaho",52199,25.4,25.4
Idaho,"Congressional District 2 (115th Congress), Idaho",51294,29.8,30.1
Illinois,"Congressional District 1 (115th Congress), Illinois",50523,75.4,28.9
Illinois,"Congressional District 10 (115th Congress), Illinois",74971,62.0,44.1
Illinois,"Congressional District 11 (115th Congress), Illinois",72198,58.9,36.0
Illinois,"Congressional District 12 (115th Congress), Illinois",47430,40.2,24.0
Illinois,"Congressional District 13 (115th Congress), Illinois",49758,44.2,30.2
Illinois,"Congressional District 14 (115th Congress), Illinois",90345,44.8,42.1
Illinois,"Congressional District 15 (115th Congress), Illinois",49927,24.5,20.2
Illinois,"Congressional District 16 (115th Congress), Illinois",57182,38.3,22.2
Illinois,"Congressional District 17 (115th Congress), Illinois",45360,46.7,18.7
Illinois,"Congressional District 18 (115th Congress), Illinois",60857,33.3,31.7
Illinois,"Congressional District 2 (115th Congress), Illinois",48417,78.0,23.3
Illinois,"Congressional District 3 (115th Congress), Illinois",66270,55.2,26.9
Illinois,"Congressional District 4 (115th Congress), Illinois",51383,82.1,24.5
Illinois,"Congressional District 5 (115th Congress), Illinois",80269,70.5,54.7
Illinois,"Congressional District 6 (115th Congress), Illinois",97387,50.2,52.2
Illinois,"Congressional District 7 (115th Congress), Illinois",54147,87.4,40.7
Illinois,"Congressional District 8 (115th Congress), Illinois",67745,58.1,32.6
Illinois,"Congressional District 9 (115th Congress), Illinois",67084,70.1,53.2
Indiana,"Congressional District 1 (115th Congress), Indiana",56370,54.1,22.6
Indiana,"Congressional District 2 (115th Congress), Indiana",51292,36.1,20.8
Indiana,"Congressional District 3 (115th Congress), Indiana",51453,30.1,22.9
Indiana,"Congressional District 4 (115th Congress), Indiana",53996,30.2,26.0
Indiana,"Congressional District 5 (115th Congress), Indiana",67461,41.3,45.0
Indiana,"Congressional District 6 (115th Congress), Indiana",51033,27.4,20.7
Indiana,"Congressional District 7 (115th Congress), Indiana",41429,59.0,23.5
Indiana,"Congressional District 8 (115th Congress), Indiana",50261,30.9,21.3
Indiana,"Congressional District 9 (115th Congress), Indiana",55078,34.2,26.3
Iowa,"Congressional District 1 (115th Congress), Iowa",57402,45.2,27.1
Iowa,"Congressional District 2 (115th Congress), Iowa",52150,45.0,28.5
Iowa,"Congressional District 3 (115th Congress), Iowa",62323,45.0,33.1
Iowa,"Congressional District 4 (115th Congress), Iowa",53335,33.5,24.7
Kansas,"Congressional District 1 (115th Congress), Kansas",48156,24.3,23.9
Kansas,"Congressional District 2 (115th Congress), Kansas",51778,37.4,29.2
Kansas,"Congressional District 3 (115th Congress), Kansas",71562,47.2,47.4
Kansas,"Congressional District 4 (115th Congress), Kansas",52054,33.0,29.5
Kentucky,"Congressional District 1 (115th Congress), Kentucky",40253,23.9,15.7
Kentucky,"Congressional District 2 (115th Congress), Kentucky",49960,27.6,20.9
Kentucky,"Congressional District 3 (115th Congress), Kentucky",51070,54.9,30.9
Kentucky,"Congressional District 4 (115th Congress), Kentucky",60912,29.3,28.3
Kentucky,"Congressional District 5 (115th Congress), Kentucky",30585,17.5,12.4
Kentucky,"Congressional District 6 (115th Congress), Kentucky",50659,39.4,31.7
Louisiana,"Congressional District 1 (115th Congress), Louisiana",56938,26.7,30.3
Louisiana,"Congressional District 2 (115th Congress), Louisiana",36798,74.6,23.4
Louisiana,"Congressional District 3 (115th Congress), Louisiana",44668,29.2,21.0
Louisiana,"Congressional District 4 (115th Congress), Louisiana",39748,36.6,19.9
Louisiana,"Congressional District 5 (115th Congress), Louisiana",36718,34.1,16.8
Louisiana,"Congressional District 6 (115th Congress), Louisiana",59270,31.0,27.9
Maine,"Congressional District 1 (115th Congress), Maine",61173,54.1,36.9
Maine,"Congressional District 2 (115th Congress), Maine",46638,41.1,23.0
Maryland,"Congressional District 1 (115th Congress), Maryland",69254,33.4,30.6
Maryland,"Congressional District 2 (115th Congress), Maryland",69128,60.1,33.4
Maryland,"Congressional District 3 (115th Congress), Maryland",83620,62.8,47.2
Maryland,"Congressional District 4 (115th Congress), Maryland",79350,77.2,34.0
Maryland,"Congressional District 5 (115th Congress), Maryland",95442,64.1,33.7
Maryland,"Congressional District 6 (115th Congress), Maryland",75774,55.3,41.5
Maryland,"Congressional District 7 (115th Congress), Maryland",61392,75.8,37.8
Maryland,"Congressional District 8 (115th Congress), Maryland",98991,65.0,55.6
Massachusetts,"Congressional District 1 (115th Congress), Massachusetts",55716,57.2,29.7
Massachusetts,"Congressional District 2 (115th Congress), Massachusetts",64868,56.2,38.4
Massachusetts,"Congressional District 3 (115th Congress), Massachusetts",77995,58.2,37.4
Massachusetts,"Congressional District 4 (115th Congress), Massachusetts",98530,59.2,51.0
Massachusetts,"Congressional District 5 (115th Congress), Massachusetts",92268,69.3,57.4
Massachusetts,"Congressional District 6 (115th Congress), Massachusetts",84913,56.1,44.0
Massachusetts,"Congressional District 7 (115th Congress), Massachusetts",60873,84.1,42.9
Massachusetts,"Congressional District 8 (115th Congress), Massachusetts",82333,60.4,46.8
Massachusetts,"Congressional District 9 (115th Congress), Massachusetts",68173,52.5,35.9
Michigan,"Congressional District 1 (115th Congress), Michigan",46927,36.6,24.6
Michigan,"Congressional District 10 (115th Congress), Michigan",60934,31.6,23.0
Michigan,"Congressional District 11 (115th Congress), Michigan",79805,45.3,46.6
Michigan,"Congressional District 12 (115th Congress), Michigan",55506,60.8,34.0
Michigan,"Congressional District 13 (115th Congress), Michigan",33995,78.8,14.7
Michigan,"Congressional District 14 (115th Congress), Michigan",42695,79.2,30.8
Michigan,"Congressional District 2 (115th Congress), Michigan",52919,38.2,23.8
Michigan,"Congressional District 3 (115th Congress), Michigan",57926,42.2,31.4
Michigan,"Congressional District 4 (115th Congress), Michigan",48434,34.7,21.9
Michigan,"Congressional District 5 (115th Congress), Michigan",42800,49.7,19.0
Michigan,"Congressional District 6 (115th Congress), Michigan",51477,42.9,28.0
Michigan,"Congressional District 7 (115th Congress), Michigan",56427,38.7,24.6
Michigan,"Congressional District 8 (115th Congress), Michigan",66495,43.9,40.6
Michigan,"Congressional District 9 (115th Congress), Michigan",56582,51.5,30.3
Minnesota,"Congressional District 1 (115th Congress), Minnesota",60424,38.4,28.0
Minnesota,"Congressional District 2 (115th Congress), Minnesota",80128,45.3,38.5
Minnesota,"Congressional District 3 (115th Congress), Minnesota",84689,50.8,49.0
Minnesota,"Congressional District 4 (115th Congress), Minnesota",66175,61.5,42.2
Minnesota,"Congressional District 5 (115th Congress), Minnesota",59115,73.7,44.5
Minnesota,"Congressional District 6 (115th Congress), Minnesota",77049,33.2,29.5
Minnesota,"Congressional District 7 (115th Congress), Minnesota",52620,31.0,21.8
Minnesota,"Congressional District 8 (115th Congress), Minnesota",53676,38.6,23.0
Mississippi,"Congressional District 1 (115th Congress), Mississippi",43194,32.4,20.7
Mississippi,"Congressional District 2 (115th Congress), Mississippi",34392,63.6,19.3
Mississippi,"Congressional District 3 (115th Congress), Mississippi",45115,36.8,25.9
Mississippi,"Congressional District 4 (115th Congress), Mississippi",45192,28.2,21.1
Missouri,"Congressional District 1 (115th Congress), Missouri",45172,77.0,31.8
Missouri,"Congressional District 2 (115th Congress), Missouri",79724,42.3,49.2
Missouri,"Congressional District 3 (115th Congress), Missouri",61929,28.1,26.4
Missouri,"Congressional District 4 (115th Congress), Missouri",48065,29.3,23.9
Missouri,"Congressional District 5 (115th Congress), Missouri",48693,54.1,28.2
Missouri,"Congressional District 6 (115th Congress), Missouri",58532,31.7,28.6
Missouri,"Congressional District 7 (115th Congress), Missouri",44619,24.7,23.2
Missouri,"Congressional District 8 (115th Congress), Missouri",40639,21.0,15.0
Montana,"Congressional District (at Large) (115th Congress), Montana",50027,35.9,31.0
Nebraska,"Congressional District 1 (115th Congress), Nebraska",58537,36.2,32.5
Nebraska,"Congressional District 2 (115th Congress), Nebraska",62621,46.0,39.2
Nebraska,"Congressional District 3 (115th Congress), Nebraska",50985,20.0,22.2
Nevada,"Congressional District 1 (115th Congress), Nevada",38000,61.6,15.2
Nevada,"Congressional District 2 (115th Congress), Nevada",58214,39.7,25.5
Nevada,"Congressional District 3 (115th Congress), Nevada",68396,46.5,31.5
Nevada,"Congressional District 4 (115th Congress), Nevada",55712,49.5,20.4
New Hampshire,"Congressional District 1 (115th Congress), New Hampshire",71277,46.6,37.2
New Hampshire,"Congressional District 2 (115th Congress), New Hampshire",70524,48.6,35.9
New Jersey,"Congressional District 1 (115th Congress), New Jersey",68208,60.6,30.4
New Jersey,"Congressional District 10 (115th Congress), New Jersey",50100,85.2,28.3
New Jersey,"Congressional District 11 (115th Congress), New Jersey",108260,47.9,54.4
New Jersey,"Congressional District 12 (115th Congress), New Jersey",85744,65.0,45.5
New Jersey,"Congressional District 2 (115th Congress), New Jersey",60756,46.0,25.8
New Jersey,"Congressional District 3 (115th Congress), New Jersey",74537,45.2,33.9
New Jersey,"Congressional District 4 (115th Congress), New Jersey",78511,41.0,39.6
New Jersey,"Congressional District 5 (115th Congress), New Jersey",100219,47.7,47.7
New Jersey,"Congressional District 6 (115th Congress), New Jersey",79229,56.2,38.9
New Jersey,"Congressional District 7 (115th Congress), New Jersey",106896,48.6,51.3
New Jersey,"Congressional District 8 (115th Congress), New Jersey",57391,75.7,33.1
New Jersey,"Congressional District 9 (115th Congress), New Jersey",64964,64.3,33.6
New Mexico,"Congressional District 1 (115th Congress), New Mexico",49570,51.6,32.9
New Mexico,"Congressional District 2 (115th Congress), New Mexico",41797,39.9,21.0
New Mexico,"Congressional District 3 (115th Congress), New Mexico",49210,51.8,27.2
New York,"Congressional District 1 (115th Congress), New York",90435,42.2,34.1
New York,"Congressional District 10 (115th Congress), New York",85756,78.3,60.3
New York,"Congressional District 11 (115th Congress), New York",71072,43.8,34.4
New York,"Congressional District 12 (115th Congress), New York",100281,83.3,72.2
New York,"Congressional District 13 (115th Congress), New York",41103,92.3,31.0
New York,"Congressional District 14 (115th Congress), New York",53512,77.7,25.6
New York,"Congressional District 15 (115th Congress), New York",29234,93.8,12.4
New York,"Congressional District 16 (115th Congress), New York",69086,75.1,40.6
New York,"Congressional District 17 (115th Congress), New York",94451,58.6,44.5
New York,"Congressional District 18 (115th Congress), New York",80493,47.1,35.7
New York,"Congressional District 19 (115th Congress), New York",59619,44.0,29.2
New York,"Congressional District 2 (115th Congress), New York",93362,43.9,31.2
New York,"Congressional District 20 (115th Congress), New York",64226,54.0,38.7
New York,"Congressional District 21 (115th Congress), New York",52350,40.0,23.2
New York,"Congressional District 22 (115th Congress), New York",52967,39.3,26.0
New York,"Congressional District 23 (115th Congress), New York",48730,39.7,26.1
New York,"Congressional District 24 (115th Congress), New York",56388,48.9,30.3
New York,"Congressional District 25 (115th Congress), New York",53723,55.5,37.3
New York,"Congressional District 26 (115th Congress), New York",47358,57.6,30.8
New York,"Congressional District 27 (115th Congress), New York",62698,35.2,30.7
New York,"Congressional District 3 (115th Congress), New York",111504,51.6,51.6
New York,"Congressional District 4 (115th Congress), New York",100178,53.4,42.5
New York,"Congressional District 5 (115th Congress), New York",66529,85.7,25.5
New York,"Congressional District 6 (115th Congress), New York",61956,65.1,35.9
New York,"Congressional District 7 (115th Congress), New York",55207,86.9,33.7
New York,"Congressional District 8 (115th Congress), New York",51634,84.6,33.7
New York,"Congressional District 9 (115th Congress), New York",54895,83.5,37.5
North Carolina,"Congressional District 1 (115th Congress), North Carolina",40895,67.5,27.7
North Carolina,"Congressional District 10 (115th Congress), North Carolina",46508,36.4,24.6
North Carolina,"Congressional District 11 (115th Congress), North Carolina",43855,34.0,24.0
North Carolina,"Congressional District 12 (115th Congress), North Carolina",59268,68.4,39.8
North Carolina,"Congressional District 13 (115th Congress), North Carolina",47440,44.0,27.0
North Carolina,"Congressional District 2 (115th Congress), North Carolina",65792,43.6,36.2
North Carolina,"Congressional District 3 (115th Congress), North Carolina",47565,36.9,22.8
North Carolina,"Congressional District 4 (115th Congress), North Carolina",70587,68.2,54.5
North Carolina,"Congressional District 5 (115th Congress), North Carolina",45001,39.8,26.3
North Carolina,"Congressional District 6 (115th Congress), North Carolina",47335,41.4,24.6
North Carolina,"Congressional District 7 (115th Congress), North Carolina",45002,39.9,24.9
North Carolina,"Congressional District 8 (115th Congress), North Carolina",50570,41.1,26.5
North Carolina,"Congressional District 9 (115th Congress), North Carolina",55913,42.8,33.8
North Dakota,"Congressional District (at Large) (115th Congress), North Dakota",60656,27.7,29.6
Ohio,"Congressional District 1 (115th Congress), Ohio",55712,44.6,33.8
Ohio,"Congressional District 10 (115th Congress), Ohio",49988,44.0,27.9
Ohio,"Congressional District 11 (115th Congress), Ohio",35735,80.5,26.8
Ohio,"Congressional District 12 (115th Congress), Ohio",67415,41.9,41.0
Ohio,"Congressional District 13 (115th Congress), Ohio",42430,51.1,23.7
Ohio,"Congressional District 14 (115th Congress), Ohio",63362,42.1,34.1
Ohio,"Congressional District 15 (115th Congress), Ohio",61514,39.9,31.4
Ohio,"Congressional District 16 (115th Congress), Ohio",64197,39.5,33.3
Ohio,"Congressional District 2 (115th Congress), Ohio",55472,39.7,32.3
Ohio,"Congressional District 3 (115th Congress), Ohio",45860,67.0,27.8
Ohio,"Congressional District 4 (115th Congress), Ohio",52632,30.7,17.9
Ohio,"Congressional District 5 (115th Congress), Ohio",57171,34.6,26.2
Ohio,"Congressional District 6 (115th Congress), Ohio",46839,26.7,15.9
Ohio,"Congressional District 7 (115th Congress), Ohio",53374,32.8,20.9
Ohio,"Congressional District 8 (115th Congress), Ohio",58213,30.6,23.8
Ohio,"Congressional District 9 (115th Congress), Ohio",41417,58.7,21.6
Oklahoma,"Congressional District 1 (115th Congress), Oklahoma",52319,32.7,30.2
Oklahoma,"Congressional District 2 (115th Congress), Oklahoma",40770,22.8,17.0
Oklahoma,"Congressional District 3 (115th Congress), Oklahoma",47724,20.9,22.9
Oklahoma,"Congressional District 4 (115th Congress), Oklahoma",55183,28.3,25.5
Oklahoma,"Congressional District 5 (115th Congress), Oklahoma",49616,39.8,30.1
Oregon,"Congressional District 1 (115th Congress), Oregon",72097,57.3,41.1
Oregon,"Congressional District 2 (115th Congress), Oregon",49837,36.4,23.8
Oregon,"Congressional District 3 (115th Congress), Oregon",63231,70.7,41.2
Oregon,"Congressional District 4 (115th Congress), Oregon",46749,46.1,26.7
Oregon,"Congressional District 5 (115th Congress), Oregon",60395,48.3,30.0
Pennsylvania,"Congressional District 1 (115th Congress), Pennsylvania",45025,49.1,27.4
Pennsylvania,"Congressional District 10 (115th Congress), Pennsylvania",52199,43.4,22.5
Pennsylvania,"Congressional District 11 (115th Congress), Pennsylvania",53833,34.7,25.1
Pennsylvania,"Congressional District 12 (115th Congress), Pennsylvania",60387,29.7,33.7
Pennsylvania,"Congressional District 13 (115th Congress), Pennsylvania",60105,25.5,35.4
Pennsylvania,"Congressional District 14 (115th Congress), Pennsylvania",44939,33.9,35.4
Pennsylvania,"Congressional District 15 (115th Congress), Pennsylvania",62755,26.5,29.2
Pennsylvania,"Congressional District 16 (115th Congress), Pennsylvania",57144,37.9,25.1
Pennsylvania,"Congressional District 17 (115th Congress), Pennsylvania",51635,46.8,22.7
Pennsylvania,"Congressional District 18 (115th Congress), Pennsylvania",63825,62.1,36.5
Pennsylvania,"Congressional District 2 (115th Congress), Pennsylvania",41320,72.9,36.7
Pennsylvania,"Congressional District 3 (115th Congress), Pennsylvania",51289,90.9,26.5
Pennsylvania,"Congressional District 4 (115th Congress), Pennsylvania",61333,57.8,26.7
Pennsylvania,"Congressional District 5 (115th Congress), Pennsylvania",48410,62.6,25.1
Pennsylvania,"Congressional District 6 (115th Congress), Pennsylvania",82139,52.6,43.2
Pennsylvania,"Congressional District 7 (115th Congress), Pennsylvania",85881,48.7,43.4
Pennsylvania,"Congressional District 8 (115th Congress), Pennsylvania",80199,43.7,39.7
Pennsylvania,"Congressional District 9 (115th Congress), Pennsylvania",47697,31.0,18.6
Rhode Island,"Congressional District 1 (115th Congress), Rhode Island",56547,60.5,34.2
Rhode Island,"Congressional District 2 (115th Congress), Rhode Island",63976,51.1,34.0
South Carolina,"Congressional District 1 (115th Congress), South Carolina",64973,40.4,39.9
South Carolina,"Congressional District 2 (115th Congress), South Carolina",57253,38.6,33.5
South Carolina,"Congressional District 3 (115th Congress), South Carolina",45042,29.0,22.0
South Carolina,"Congressional District 4 (115th Congress), South Carolina",51718,34.5,30.7
South Carolina,"Congressional District 5 (115th Congress), South Carolina",48743,38.8,23.0
South Carolina,"Congressional District 6 (115th Congress), South Carolina",35296,66.8,19.6
South Carolina,"Congressional District 7 (115th Congress), South Carolina",43146,39.1,20.1
South Dakota,"Congressional District (at Large) (115th Congress), South Dakota",54467,31.7,28.9
Tennessee,"Congressional District 1 (115th Congress), Tennessee",41006,19.7,19.4
Tennessee,"Congressional District 2 (115th Congress), Tennessee",50701,29.7,31.0
Tennessee,"Congressional District 3 (115th Congress), Tennessee",43938,30.2,22.7
Tennessee,"Congressional District 4 (115th Congress), Tennessee",50598,27.4,22.6
Tennessee,"Congressional District 5 (115th Congress), Tennessee",54470,56.5,37.5
Tennessee,"Congressional District 6 (115th Congress), Tennessee",50731,23.7,21.9
Tennessee,"Congressional District 7 (115th Congress), Tennessee",53276,28.2,28.1
Tennessee,"Congressional District 8 (115th Congress), Tennessee",54145,30.7,27.6
Tennessee,"Congressional District 9 (115th Congress), Tennessee",39761,77.5,24.1
Texas,"Congressional District 1 (115th Congress), Texas",45313,25.3,20.9
Texas,"Congressional District 10 (115th Congress), Texas",73476,43.2,38.7
Texas,"Congressional District 11 (115th Congress), Texas",50602,19.1,20.4
Texas,"Congressional District 12 (115th Congress), Texas",62214,32.7,29.9
Texas,"Congressional District 13 (115th Congress), Texas",50150,16.9,20.4
Texas,"Congressional District 14 (115th Congress), Texas",58103,38.4,22.7
Texas,"Congressional District 15 (115th Congress), Texas",41947,56.7,19.8
Texas,"Congressional District 16 (115th Congress), Texas",44045,67.9,23.9
Texas,"Congressional District 17 (115th Congress), Texas",50888,38.8,29.4
Texas,"Congressional District 18 (115th Congress), Texas",42662,76.5,22.4
Texas,"Congressional District 19 (115th Congress), Texas",47875,23.5,22.4
Texas,"Congressional District 2 (115th Congress), Texas",72711,43.1,40.8
Texas,"Congressional District 20 (115th Congress), Texas",49421,61.0,24.7
Texas,"Congressional District 21 (115th Congress), Texas",68987,42.5,45.1
Texas,"Congressional District 22 (115th Congress), Texas",87901,44.2,45.1
Texas,"Congressional District 23 (115th Congress), Texas",51293,49.8,21.7
Texas,"Congressional District 24 (115th Congress), Texas",70454,44.5,44.7
Texas,"Congressional District 25 (115th Congress), Texas",69083,40.2,37.2
Texas,"Congressional District 26 (115th Congress), Texas",87272,34.4,44.2
Texas,"Congressional District 27 (115th Congress), Texas",53047,36.5,20.3
