,salary
111024,207687.54
111025,201882.89
111026,204555.69
111027,198874.0
111028,198997.24
111029,209229.42
111030,202511.14
111031,206784.18
111032,201621.34
111033,200935.31
111034,199458.92
111035,211683.29
111036,211104.13
111037,207348.05
111038,205161.13
111039,216014.63
111040,200798.1
111041,211268.44
111042,190339.26
111043,210009.42
111044,210795.6
111045,211361.9
111046,197264.22
111047,190783.03
111048,203101.38
111049,206977.42
111050,235345.23
111051,202633.4
111052,197303.68
111053,210905.02
111054,206094.09
111055,197498.14
111056,208294.35
111057,206470.94
111058,197728.31
111059,205680.84
111060,208807.35
111061,190047.46
111062,189581.69
111063,202044.66
111064,197119.5
111065,199543.2
111066,205427.31
111067,195838.55
111068,197057.37
111069,196855.8
111070,196855.78
111071,196855.78
111072,196855.77
111073,196855.76
111074,196855.77
111075,196855.76
111076,196855.76
111077,196855.77
111078,196855.74
111079,196851.69
111080,196851.68
111081,196851.67
111082,205245.66
111083,206388.44
111084,196793.29
111085,196793.27
111086,196793.27
111087,196793.27
111088,196793.26
111089,196793.25
111090,196793.25
111091,189581.76
111092,187571.0
111093,208793.81
111094,203971.87
111095,212657.66
111096,201976.58
111097,196585.47
111098,197664.66
111099,196540.66
111100,187571.0
111101,205275.53
111102,188499.47
111103,211978.99
111104,209001.95
111105,204674.59
111106,207969.53
111107,206296.0
111108,209792.78
111109,195310.05
111110,204077.44
111111,199231.4
111112,188080.25
111113,195725.06
111114,200745.4
111115,189708.28
111116,207698.3
111117,199230.51
111118,207309.43
111119,195543.38
111120,201467.04
111121,198300.62
111122,203569.65
111123,203681.84
111124,187794.65
111125,188058.54
111126,187571.0
111127,187571.0
111128,197054.2
111129,195202.57
111130,187515.77
111131,187515.74
111132,193085.02
111133,210865.35
111134,201834.94
111135,203352.8
111136,207051.15
111137,194905.01
111138,195684.23
111139,210033.64
111140,195466.0
111141,206068.77
111142,203602.19
111143,187571.04
111144,187571.0
111145,203435.26
111146,187563.45
111147,187546.19
111148,187544.95
111149,211724.08
111150,204478.61
111151,207752.53
111152,193065.6
111153,193065.6
111154,209783.37
111155,211029.94
111156,202442.48
111157,187210.93
111158,192696.94
111159,195448.56
111160,187254.76
111161,206111.56
111162,194151.33
111163,188696.85
111164,204420.18
111165,200211.09
111166,192997.21
111167,201113.33
111168,205711.07
111169,196880.56
111170,186411.29
111171,204336.1
111172,201213.38
111173,194574.74
111174,200143.66
111175,193165.8
111176,206161.97
111177,193021.53
111178,193021.52
111179,193021.52
111180,193021.51
111181,193021.51
111182,193021.51
111183,193021.5
111184,192959.07
111185,192959.05
111186,192959.05
111187,192959.0
111188,192920.02
111189,200591.41
111190,204611.75
111191,201294.95
111192,192320.92
111193,196698.1
111194,200284.65
111195,207224.66
111196,185411.39
111197,200331.15
111198,207875.17
111199,193274.59
111200,203816.0
111201,199615.45
111202,185161.72
111203,195714.93
111204,198259.03
111205,192293.2
111206,189178.02
111207,189178.0
111208,189178.0
111209,189178.0
111210,189178.06
111211,189149.52
111212,190424.86
111213,189126.07
111214,184872.41
111215,192094.12
111216,207570.81
111217,199500.01
111218,184872.4
111219,198104.36
111220,204094.92
111221,194629.81
111222,203809.88
111223,199470.33
111224,192718.08
111225,192761.93
111226,190067.65
111227,207757.07
111228,182454.81
111229,198191.95
111230,199936.86
111231,191431.61
111232,182250.71
111233,207303.58
111234,203308.09
111235,195132.41
111236,190731.57
111237,184023.78
111238,199222.59
111239,198307.8
111240,204431.21
111241,197673.19
111242,202029.81
111243,202766.19
111244,197765.88
111245,194330.04
111246,197944.44
111247,199951.85
111248,193219.49
111249,207014.66
111250,203634.79
111251,193795.53
111252,199904.06
111253,202710.79
111254,190189.04
111255,190189.1
111256,190189.04
111257,190189.04
111258,190189.03
111259,190189.02
111260,190189.03
111261,190189.0
111262,182873.68
111263,190159.75
111264,197422.65
111265,189243.34
111266,191086.6
111267,201438.31
111268,196486.1
111269,188350.8
111270,188610.24
111271,196437.68
111272,180678.61
111273,196214.89
111274,200471.7
111275,196301.86
111276,196149.78
111277,199418.16
111278,189344.11
111279,189344.08
111280,191935.94
111281,182316.6
111282,186305.29
111283,190606.21
111284,200133.63
111285,200011.0
111286,197642.75
111287,192570.4
111288,200849.97
111289,189017.0
111290,212535.9
111291,181289.02
111292,196178.18
111293,191957.89
111294,181187.63
111295,189637.89
111296,185836.27
111297,193296.53
111298,199377.93
111299,181403.91
111300,205528.88
111301,199786.33
111302,181294.53
111303,189587.74
111304,199685.98
111305,194361.74
111306,185379.5
111307,199610.86
111308,190437.81
111309,199630.49
111310,188560.76
111311,191212.38
111312,188925.02
111313,202313.2
111314,188824.25
111315,199296.74
111316,185477.15
111317,188189.15
111318,194145.24
111319,196900.86
111320,203630.87
111321,189064.22
111322,203641.99
111323,193370.72
111324,194658.21
111325,195425.65
111326,193230.59
111327,199350.57
111328,187775.05
111329,191403.05
111330,194891.36
111331,199150.94
111332,207176.23
111333,197942.99
111334,184532.74
111335,184624.69
111336,206383.96
111337,189835.1
111338,201881.61
111339,185184.89
111340,193430.99
111341,196573.26
111342,180041.44
111343,197061.92
111344,194238.06
111345,197014.34
111346,179416.33
111347,195041.1
111348,188952.54
111349,185142.83
111350,197256.8
111351,185700.17
111352,194392.95
111353,179759.92
111354,178715.86
111355,193749.44
111356,189167.22
111357,197647.93
111358,189504.5
111359,195047.18
111360,196067.69
111361,187927.87
111362,199463.08
111363,191549.74
111364,190049.83
111365,186677.07
111366,194955.78
111367,188882.53
111368,196793.27
111369,193576.64
111370,197247.87
111371,194494.98
111372,187373.7
111373,197188.35
111374,179270.46
111375,186242.06
111376,185870.8
111377,193276.75
111378,178869.32
111379,186242.04
111380,197063.5
111381,192347.11
111382,183200.03
111383,179041.55
111384,199438.4
111385,183065.84
111386,195720.31
111387,196169.89
111388,198688.2
111389,183052.2
111390,202949.1
111391,196312.12
111392,195449.13
111393,177984.03
111394,177914.41
111395,195588.65
111396,194602.95
111397,176473.15
111398,195478.74
111399,191222.14
111400,177781.21
111401,201406.87
111402,183872.0
111403,186851.7
111404,191956.84
111405,192157.36
111406,190625.27
111407,185274.01
111408,192511.82
111409,177598.88
111410,177534.42
111411,176069.04
111412,190029.76
111413,190970.58
111414,182181.07
111415,176484.0
111416,191427.1
111417,192588.04
111418,188991.68
111419,195605.23
111420,190910.71
111421,177851.63
111422,190617.41
111423,194980.26
111424,177815.03
111425,177810.81
111426,177266.26
111427,203125.74
111428,177599.11
111429,190330.37
111430,195195.57
111431,177037.08
111432,188254.92
111433,181820.7
111434,194616.97
111435,182953.82
111436,194344.13
111437,182994.06
111438,190632.66
111439,199810.17
111440,181774.61
111441,194946.36
111442,185423.06
111443,184881.08
111444,185054.27
111445,177076.33
111446,176484.05
111447,176484.05
111448,176470.18
111449,189522.51
111450,184782.53
111451,194271.2
111452,193824.94
111453,198259.49
111454,188040.3
111455,192703.6
111456,183979.02
111457,190991.03
111458,183795.73
111459,195027.53
111460,176167.55
111461,190013.48
111462,200228.93
111463,201060.08
111464,193484.95
111465,183755.52
111466,175109.49
111467,176517.19
111468,188525.02
111469,176484.04
111470,188935.44
111471,182946.68
111472,183575.84
111473,175807.11
111474,192477.31
111475,189640.91
111476,189102.79
111477,193163.88
111478,175729.46
111479,183224.2
111480,188409.66
111481,197835.29
111482,183174.44
111483,183174.5
111484,183174.51
111485,183174.49
111486,183174.49
111487,183174.47
111488,183174.48
111489,183174.47
111490,183174.46
111491,183174.45
111492,183174.45
111493,183174.46
111494,183174.45
111495,183174.45
111496,183174.44
111497,183174.44
111498,183174.44
111499,183174.43
111500,183174.43
111501,183174.43
111502,183174.42
111503,183174.43
111504,183174.42
111505,183174.42
111506,183174.42
111507,183174.42
111508,183174.42
111509,183174.4
111510,183174.43
111511,183174.52
111512,189279.39
111513,183112.0
111514,183112.0
111515,183111.99
111516,183111.97
111517,183111.98
111518,183111.97
111519,183111.97
111520,183111.97
111521,183111.96
111522,183111.97
111523,183111.96
111524,183111.96
111525,183111.96
111526,183111.94
111527,183111.95
111528,183111.95
111529,183111.94
111530,183111.94
111531,183111.94
111532,183111.94
111533,183111.94
111534,183111.93
111535,183111.93
111536,183111.93
111537,183111.95
111538,183111.93
111539,183111.93
111540,183111.93
111541,183111.93
111542,183111.93
111543,183111.93
111544,183111.92
111545,183111.92
111546,183111.92
111547,183111.92
111548,183111.91
111549,183111.91
111550,183928.36
111551,183068.39
111552,175422.94
111553,183067.05
111554,189110.83
111555,183040.33
111556,174427.6
111557,182977.86
111558,182977.83
111559,182977.82
111560,180236.43
111561,183520.06
111562,175813.64
111563,180368.44
111564,188139.83
111565,185283.53
111566,185423.79
111567,191470.09
111568,194026.55
111569,188312.22
111570,182707.0
111571,175462.53
111572,192482.6
111573,192934.14
111574,179644.52
111575,188592.02
111576,192535.5
111577,192556.86
111578,187968.49
111579,192215.34
111580,175202.73
111581,191233.33
111582,190643.5
111583,182372.51
111584,187694.56
111585,182254.9
111586,184515.47
111587,184904.58
111588,188184.84
111589,196454.39
111590,182165.37
111591,189982.7
111592,188302.36
111593,187635.28
111594,190435.63
111595,190724.62
111596,174210.64
111597,186931.37
111598,177560.03
111599,184387.12
111600,190938.47
111601,194257.33
111602,191868.96
111603,189524.19
111604,190617.61
111605,191539.31
111606,181680.71
111607,188554.68
111608,186704.5
111609,186507.22
111610,182461.22
111611,190868.08
111612,173872.25
111613,195054.65
111614,181481.44
111615,181556.68
111616,182006.14
111617,191232.52
111618,195197.53
111619,186330.53
111620,186847.54
111621,195160.22
111622,181344.67
111623,181333.9
111624,173688.28
111625,191426.04
111626,181207.9
111627,181207.89
111628,190961.12
111629,178343.58
111630,186445.12
111631,194886.61
111632,182208.27
111633,179608.5
111634,181589.57
111635,189500.8
111636,179546.03
111637,179546.0
111638,185618.72
111639,173374.56
111640,181107.87
111641,186592.46
111642,181350.37
111643,193284.1
111644,181509.12
111645,177925.02
111646,177925.04
111647,173019.37
111648,193091.57
111649,173045.18
111650,190173.34
111651,173019.41
111652,186347.13
111653,180617.03
111654,180618.28
111655,191638.47
111656,180587.68
111657,184693.01
111658,180509.02
111659,195168.98
111660,189274.62
111661,182889.98
111662,182612.74
111663,189194.31
111664,189311.0
111665,189790.85
111666,193047.96
111667,185406.18
111668,185765.18
111669,186798.55
111670,173019.41
111671,189399.45
111672,188112.6
111673,180067.02
111674,189042.33
111675,178921.6
111676,193256.4
111677,185867.04
111678,187178.11
111679,179230.13
111680,181378.9
111681,188968.91
111682,184544.23
111683,172647.3
111684,185993.43
111685,185757.7
111686,190270.76
111687,170711.16
111688,191892.02
111689,172532.84
111690,188555.35
111691,172347.51
111692,183137.28
111693,183683.96
111694,179608.56
111695,179608.56
111696,179608.55
111697,179608.53
111698,179608.53
111699,179608.54
111700,179608.53
111701,179608.53
111702,179608.53
111703,179608.53
111704,179608.52
111705,179608.52
111706,179608.52
111707,179608.53
111708,179608.51
111709,179608.51
111710,179608.5
111711,179608.51
111712,179608.5
111713,179608.51
111714,179608.5
111715,179608.5
111716,179608.5
111717,179608.5
111718,179608.5
111719,179608.5
111720,179608.5
111721,179608.5
111722,179608.5
111723,179608.5
111724,179608.5
111725,179608.5
111726,179608.52
111727,188825.48
111728,178950.03
111729,188388.8
111730,180294.24
111731,179749.29
111732,179546.03
111733,179546.03
111734,179546.03
111735,179546.02
111736,179546.02
111737,179546.01
111738,179546.01
111739,187427.0
111740,179608.54
111741,177250.72
111742,186582.39
111743,179410.69
111744,180131.69
111745,179352.05
111746,194712.44
111747,177584.88
111748,180230.74
111749,184669.88
111750,179159.0
111751,181898.72
111752,187470.34
111753,188044.75
111754,182732.37
111755,183562.61
111756,184146.06
111757,197504.55
111758,187153.97
111759,182813.15
111760,192006.97
111761,178984.3
111762,187904.56
111763,171234.52
111764,192502.13
111765,187895.55
111766,187446.64
111767,188266.67
111768,177541.87
111769,187308.18
111770,178651.5
111771,191076.35
111772,177864.95
111773,178447.83
111774,187172.55
111775,187817.88
111776,186227.58
111777,191662.31
111778,178502.01
111779,193502.46
111780,190513.64
111781,169807.36
111782,191674.2
111783,186191.17
111784,187484.63
111785,186535.99
111786,191433.88
111787,171097.49
111788,190969.79
111789,181249.66
111790,182624.38
111791,195898.76
111792,178327.93
111793,178267.7
111794,190823.94
111795,187282.89
111796,169561.37
111797,178075.52
111798,182316.05
111799,183098.18
111800,191538.32
111801,169388.2
111802,182918.46
111803,186338.45
111804,189649.9
111805,170211.02
111806,176106.84
111807,175799.99
111808,186328.29
111809,181262.45
111810,186119.87
111811,178799.91
111812,185602.96
111813,180552.13
111814,174687.07
111815,181602.09
111816,177257.95
111817,185843.36
111818,185828.51
111819,170258.58
111820,179301.35
111821,185567.63
111822,183519.34
111823,185802.24
111824,177135.48
111825,179685.42
111826,169430.11
111827,188273.7
111828,169862.84
111829,181561.55
111830,188141.19
111831,184134.77
111832,169165.04
111833,189004.03
111834,185466.08
111835,181063.9
111836,175374.65
111837,175406.62
111838,170015.41
111839,190575.9
111840,176320.27
111841,184331.31
111842,173787.04
111843,185398.27
111844,184772.2
111845,185313.77
111846,181870.36
111847,175048.07
111848,179775.01
111849,169312.48
111850,178242.79
111851,185136.77
111852,185437.54
111853,175037.9
111854,178636.51
111855,168666.92
111856,180213.79
111857,169105.79
111858,184946.27
111859,185088.99
111860,176692.45
111861,184376.47
111862,180385.85
111863,176069.01
111864,169006.8
111865,202145.01
111866,176069.06
111867,177306.66
111868,185037.87
111869,192953.56
111870,176113.9
111871,184160.17
111872,180609.79
111873,185231.52
111874,176069.05
111875,176069.04
111876,176069.03
111877,176069.03
111878,176069.01
111879,176069.0
111880,176069.0
111881,176069.0
111882,188675.75
111883,176014.9
111884,167443.22
111885,184188.54
111886,184166.64
111887,181091.78
111888,175949.03
111889,187680.67
111890,183954.1
111891,183700.91
111892,178061.58
111893,175334.4
111894,184076.19
111895,179296.62
111896,180371.22
111897,177985.14
111898,175815.77
111899,167203.65
111900,184110.07
111901,188138.33
111902,186531.88
111903,184286.84
111904,169308.71
111905,188214.98
111906,188552.5
111907,186327.46
111908,167983.51
111909,183510.84
111910,179004.14
111911,172932.99
111912,166921.99
111913,185713.87
111914,184006.97
111915,179871.58
111916,179037.37
111917,180857.82
111918,183290.6
111919,176931.04
111920,179944.58
111921,177746.27
111922,183094.23
111923,185324.2
111924,179348.79
111925,189090.41
111926,179637.82
111927,186588.04
111928,175177.23
111929,168271.74
111930,174369.78
111931,176772.42
111932,184498.58
111933,189630.64
111934,182814.63
111935,182764.99
111936,187528.18
111937,172490.2
111938,181005.74
111939,182484.05
111940,176037.63
111941,167677.39
111942,167529.2
111943,166990.65
111944,181937.16
111945,182501.25
111946,174563.52
111947,178701.76
111948,182880.37
111949,165937.86
111950,185685.79
111951,177637.52
111952,185060.3
111953,187109.98
111954,182000.22
111955,186259.9
111956,186775.9
111957,176932.27
111958,185960.09
111959,181617.42
111960,173985.48
111961,190897.74
111962,182098.95
111963,197771.51
111964,166225.06
111965,179936.54
111966,190610.38
111967,164805.0
111968,181247.53
111969,185888.29
111970,181281.12
111971,181414.78
111972,175715.79
111973,177763.6
111974,174961.12
111975,177447.7
111976,177733.06
111977,176409.26
111978,179430.86
111979,166305.0
111980,173463.2
111981,181740.18
111982,176441.77
111983,172063.21
111984,164805.03
111985,164805.0
111986,185382.06
111987,179136.83
111988,173108.54
111989,173249.81
111990,181005.81
111991,176846.84
111992,180571.99
111993,181573.98
111994,183554.58
111995,181841.03
111996,173529.05
111997,183756.25
111998,183174.46
111999,183232.41
112000,175500.93
112001,176651.59
112002,175649.78
112003,184808.32
112004,179888.7
112005,180222.07
112006,190014.48
112007,180752.16
112008,164805.03
112009,180086.73
112010,171059.63
112011,184633.25
112012,180648.54
112013,180803.68
112014,175077.62
112015,171463.58
112016,180301.64
112017,180524.46
112018,176917.34
112019,180415.02
112020,173326.94
112021,174727.0
112022,183109.81
112023,179663.15
112024,177505.43
112025,180418.96
112026,179885.57
112027,180362.21
112028,164805.01
112029,176643.7
112030,164805.03
112031,164805.03
112032,164805.02
112033,164805.02
112034,164805.02
112035,164805.01
112036,164805.0
112037,173452.79
112038,180278.61
112039,180353.01
112040,181509.51
112041,184003.69
112042,164746.49
112043,175077.34
112044,173224.48
112045,174843.56
112046,164689.11
112047,164689.04
112048,164689.03
112049,180674.89
112050,169857.06
112051,183344.54
112052,180605.17
112053,169586.74
112054,163204.76
112055,164955.91
112056,175776.8
112057,178103.73
112058,173951.3
112059,179215.63
112060,175542.56
112061,164805.05
112062,164805.02
112063,164805.01
112064,164805.0
112065,164805.0
112066,164805.0
112067,164805.0
112068,164805.0
112069,164804.38
112070,179941.31
112071,179108.34
112072,172771.64
112073,170527.06
112074,170527.0
112075,170527.0
112076,178060.95
112077,179200.0
112078,179690.57
112079,175582.46
112080,178967.11
112081,164689.07
112082,164689.06
112083,170233.4
112084,164038.35
112085,175202.52
112086,167473.67
112087,178256.84
112088,176807.17
112089,171458.89
112090,170066.42
112091,183077.63
112092,167301.0
112093,163740.49
112094,177850.49
112095,171351.0
112096,179823.59
112097,178963.45
112098,181482.13
112099,172960.34
112100,174814.56
112101,178315.07
112102,174983.61
112103,178417.89
112104,178268.86
112105,173811.06
112106,170608.93
112107,178294.4
112108,178351.88
112109,171184.5
112110,176866.39
112111,181916.31
112112,177181.76
112113,181582.64
112114,182618.35
112115,184179.21
112116,178044.27
112117,187183.44
112118,177832.78
112119,180418.76
112120,181240.63
112121,163789.45
112122,179204.76
112123,171420.81
112124,174717.29
112125,169035.01
112126,171133.95
112127,178413.32
112128,170917.02
112129,171597.89
112130,166987.05
112131,178412.94
112132,179546.06
112133,175215.01
112134,177975.53
112135,168863.46
112136,178105.91
112137,178264.71
112138,188177.6
112139,178006.74
112140,169693.28
112141,177871.85
112142,175124.18
112143,181759.76
112144,162945.48
112145,170527.1
112146,170527.05
112147,170527.05
112148,170527.02
112149,170527.03
112150,170527.02
112151,170527.02
112152,170527.01
112153,170527.01
112154,170527.01
112155,170527.02
112156,170527.0
112157,169346.69
112158,181047.87
112159,182509.91
112160,170479.1
112161,172673.3
112162,177184.19
112163,169007.47
112164,168765.88
112165,181732.95
112166,168205.83
112167,176794.26
112168,177720.67
112169,170559.34
112170,161274.45
112171,173918.21
112172,173484.9
112173,177308.88
112174,175567.08
112175,180601.3
112176,181481.78
112177,176702.91
112178,177858.64
112179,172221.3
112180,160925.22
112181,171760.15
112182,180929.66
112183,182139.33
112184,169801.52
112185,177112.16
112186,173016.28
112187,168848.24
112188,171201.62
112189,169044.82
112190,175256.56
112191,169709.12
112192,170349.33
112193,171403.98
112194,161172.49
112195,174075.02
112196,185064.32
112197,169646.61
112198,176857.28
112199,176761.76
112200,172090.47
112201,178521.05
112202,176803.46
112203,181216.16
112204,176433.57
112205,176450.58
112206,168645.33
112207,170066.32
112208,179590.08
112209,172725.05
112210,176870.16
112211,176489.0
112212,172500.11
112213,172485.66
112214,171732.52
112215,171740.83
112216,176272.82
112217,181521.53
112218,176441.49
112219,170951.26
112220,182481.46
112221,161994.87
112222,167936.62
112223,177263.64
112224,168486.21
112225,168016.94
112226,172176.23
112227,172409.1
112228,175205.37
112229,179721.53
112230,177253.72
112231,200515.97
112232,161411.06
112233,176183.33
112234,180155.79
112235,173332.99
112236,176226.7
112237,160351.37
112238,168450.11
112239,172035.94
112240,161285.02
112241,176023.47
112242,179337.72
112243,183393.57
112244,166100.48
112245,175870.7
112246,175660.11
112247,171353.62
112248,175435.08
112249,163489.4
112250,209110.8
112251,174933.31
112252,172817.1
112253,175369.45
112254,161265.59
112255,175490.35
112256,171368.75
112257,179821.71
112258,179443.81
112259,174171.14
112260,170239.64
112261,164367.89
112262,171094.77
112263,192771.43
112264,173522.57
112265,179027.82
112266,168498.67
112267,165644.89
112268,170796.34
112269,169364.37
112270,174565.03
112271,174802.12
112272,173427.41
112273,179158.04
112274,174587.92
112275,179599.31
112276,175129.18
112277,170833.01
112278,168097.76
112279,171445.31
