Player,Salary,Year Drafted,Pick Number,Position
Laremy Tunsil,2148770,2016,13,OT
Sheldon Richardson,8000000,2013,13,DT
Chris Lindstrom,495000,2019,14,OL
DeVante Parker,3500000,2015,14,WR
Derek Barnett,1633252,2017,14,DE
Earl Thomas,2000000,2010,14,DB
Karl Joseph,2070589,2016,14,SS
Kyle Fuller,1000000,2014,14,CB
Malcolm Jenkins,8100000,2009,14,DB
Marcus Davenport,779632,2018,14,DE
Michael Brockers,7777777,2012,14,DT
Robert Quinn,6000000,2011,14,DE
Star Lotulelei,7150000,2013,14,DT
Thomas Davis,1250000,2005,14,LB
Bruce Irvin,1250000,2012,15,DE
Dwayne Haskins,495000,2019,15,QB
Jason Pierre-Paul,13650000,2010,15,DE
Kenny Vaccaro,1250000,2013,15,FS
Kolton Miller,1092333,2018,15,OT
Malik Hooker,1610446,2017,15,FS
Melvin Gordon,5605000,2015,15,RB
Mike Pouncey,6000000,2011,15,C
Brian Burns,495000,2019,16,EDGE
Dominique Rodgers-Cromartie,1030000,2008,16,DB
Kevin Johnson,2000000,2015,16,CB
Marlon Humphrey,1542044,2017,16,CB
Ryan Kerrigan,10500000,2011,16,DE
Taylor Decker,1945498,2016,16,OT
Tremaine Edmunds,1055434,2018,16,ILB
Zack Martin,10000000,2014,16,G
Arik Armstead,9046000,2015,17,DE
C.J. Mosley,1000000,2014,17,ILB
Derwin James,1043134,2018,17,SS
Dexter Lawrence,495000,2019,17,DL
Dre Kirkpatrick,9150000,2012,17,CB
Jonathan Allen,1519216,2017,17,DT
Keanu Neal,1914224,2016,17,FS
Mike Iupati,1000000,2010,17,G
Nate Solder,12900000,2011,17,T
Adoree' Jackson,1490708,2017,18,CB
Corey Liuget,930000,2011,18,DT
Eric Reid,1500000,2013,18,FS
Garrett Bradbury,495000,2019,18,OL
Jaire Alexander,1027761,2018,18,CB
Joe Flacco,18500000,2008,18,QB
Marcus Peters,9069000,2015,18,CB
Maurkice Pouncey,1000000,2010,18,C
Melvin Ingram,17000000,2012,18,DE
Ryan Kelly,1875134,2016,18,C
Cameron Erving,1450000,2015,19,OT
Ja'Wuan James,5000000,2014,19,OT
Jeffery Simmons,495000,2019,19,DL
Justin Pugh,5000000,2013,19,OG
Leighton Vander Esch,1018535,2018,19,OLB
O.J. Howard,1473602,2017,19,TE
Prince Amukamara,8500000,2011,19,CB
Shaq Lawson,1851679,2016,19,DE
Adrian Clayborn,930000,2011,20,DL
Aqib Talib,8000000,2008,20,DB
Brandin Cooks,1000000,2014,20,WR
Darron Lee,1843861,2016,20,OLB
Frank Ragnow,1015461,2018,20,C
Garett Bolles,1467900,2017,20,OT
Kareem Jackson,3000000,2010,20,DB
Kyle Long,2500000,2013,20,OT
Nelson Agholor,9387000,2015,20,WR
Noah Fant,495000,2019,20,TE
Alex Mack,8500000,2009,21,C
Billy Price,1012386,2018,21,C
Cedric Ogbuehi,805000,2015,21,OT
Chandler Jones,16500000,2012,21,DE
Darnell Savage,3120000,2019,21,S
Ha Ha Clinton-Dix,2000000,2014,21,FS
Jarrad Davis,1462198,2017,21,ILB
Tyler Eifert,1000000,2013,21,TE
Will Fuller,1836043,2016,21,WR
Andre Dillard,495000,2019,22,OL
Anthony Castonzo,6250000,2011,22,LT
Bud Dupree,9232000,2015,22,DE
Charles Harris,1450794,2017,22,DE
Demaryius Thomas,1200000,2010,22,WR
Desmond Trufant,9500000,2013,22,CB
Josh Doctson,1820405,2016,22,WR
Rashaan Evans,1006236,2018,22,ILB
Bryan Bulaga,5800000,2010,23,T
Dee Ford,4750000,2014,23,DE
Evan Engram,1439391,2017,23,TE
Isaiah Wynn,1000087,2018,23,OT
Laquon Treadwell,1804770,2016,23,WR
Riley Reiff,9400000,2012,23,OT
Tytus Howard,495000,2019,23,nan
Aaron Rodgers,1100000,2005,24,QB
Cameron Jordan,8000000,2011,24,DE
D.J. Humphries,9625000,2015,24,OT
D.J. Moore,987787,2018,24,WR
Darqueze Dennard,1500000,2014,24,CB
David DeCastro,7070000,2012,24,G
Gareon Conley,1416584,2017,24,CB
Johnathan Joseph,2900000,2006,24,DB
Josh Jacobs,495000,2019,24,RB
William Jackson,1773497,2016,24,CB
Artie Burns,1757861,2016,25,CB
Dont'a Hightower,7000000,2012,25,ILB
Hayden Hurst,981638,2018,25,TE
Jabrill Peppers,1405181,2017,25,SS
James Carpenter,2000000,2011,25,LG
Jason Verrett,1100000,2014,25,CB
Marquise Brown,495000,2019,25,WR
Shaq Thompson,9232000,2015,25,OLB
Xavier Rhodes,10400000,2013,25,CB
Breshad Perriman,2000000,2015,26,WR
Calvin Ridley,975487,2018,26,WR
Clay Matthews,3000000,2009,26,LB
Duane Brown,8000000,2008,26,T
Montez Sweat,495000,2019,26,EDGE
Takkarist McKinley,1393775,2017,26,OLB
Whitney Mercilus,5750000,2012,26,DE
Byron Jones,6266000,2015,27,CB
DeAndre Hopkins,12500000,2013,27,WR
Deone Bucannon,1050000,2014,27,SS
Devin McCourty,9000000,2010,27,DB
Jimmy Smith,9500000,2011,27,CB
Johnathan Abram,495000,2019,27,S
Kenny Clark,1726588,2016,27,DT
Kevin Zeitler,10000000,2012,27,G
Rashaad Penny,969338,2018,27,RB
Tre'Davious White,1382374,2017,27,CB
Jerry Tillery,495000,2019,28,DL
Joe Staley,8050000,2007,28,T
Laken Tomlinson,2000000,2015,28,OG
Marcedes Lewis,1050000,2006,28,TE
Mark Ingram,2000000,2011,28,RB
Taco Charlton,1376672,2017,28,DE
Terrell Edmunds,966263,2018,28,S
Cordarrelle Patterson,3000000,2013,29,WR
David Njoku,1330918,2017,29,TE
Harrison Smith,8350000,2012,29,FS
L.J. Collier,495000,2019,29,DL
Phillip Dorsett,1500000,2015,29,WR
Robert Nkemdiche,1122808,2016,29,DT
Taven Bryan,941589,2018,29,DT
Alec Ogletree,4000000,2013,30,OLB
Damarious Randall,9069000,2015,30,FS
Deandre Baker,495000,2019,30,CB
Jimmie Ward,2000000,2014,30,SS
Mike Hughes,928522,2018,30,CB
T.J. Watt,1306688,2017,30,OLB
Vernon Butler,1144980,2016,30,DT
Bradley Roby,5000000,2014,31,CB
Cameron Heyward,8750000,2011,31,DE
Germain Ifedi,1577060,2016,31,OT
Greg Olsen,1900000,2007,31,TE
Jerry Hughes,6800000,2010,31,DE
Kaleb McGary,495000,2019,31,OL
Sony Michel,917577,2018,31,RB
Stephone Anthony,805000,2015,31,ILB
Travis Frederick,6000000,2013,31,C
Ben Watson,3000000,2004,32,TE
Drew Brees,1400000,2001,32,QB
Emmanuel Ogbah,1351315,2016,32,DE
Lamar Jackson,910529,2018,32,QB
Malcom Brown,1000000,2015,32,DT
N'Keal Harry,495000,2019,32,WR
Patrick Robinson,4000000,2010,32,DB
Ryan Ramczyk,1273323,2017,32,OT
Teddy Bridgewater,1250000,2014,32,QB
Austin Corbett,821745,2018,33,C
Byron Murphy,495000,2019,33,CB
Johnathan Cyprien,805000,2013,33,SS
Kevin King,1108717,2017,33,CB
Landon Collins,1000000,2015,33,SS
Rodger Saffold,3500000,2010,33,T
Xavier Su'a-Filo,805000,2014,33,OG
Cam Robinson,1103015,2017,34,OT
DeMarcus Lawrence,1500000,2014,34,DE
Donovan Smith,7000000,2015,34,OT
Jaylon Smith,1335678,2016,34,OLB
Patrick Chung,1900000,2009,34,DB
Rock Ya-Sin,495000,2019,34,CB
Will Hernandez,818670,2018,34,OG
Andy Dalton,16000000,2011,35,QB
Hunter Henry,1170042,2016,35,TE
Jawaan Taylor,495000,2019,35,OL
Joel Bitonio,6500000,2014,35,OT
Mario Edwards,935000,2015,35,DE
Nick Chubb,815595,2018,35,RB
Zach Ertz,8000000,2013,35,TE
Budda Baker,1085910,2017,36,FS
Darius Leonard,809446,2018,36,LB
Darius Slay,12550000,2013,36,CB
Deebo Samuel,495000,2019,36,WR
Derek Carr,19900000,2014,36,QB
Derek Wolfe,8000000,2012,36,DT
Myles Jack,1313787,2016,36,OLB
T.J. Yeldon,1000000,2015,36,RB
Braden Smith,806986,2018,37,OG
Chris Jones,1199714,2016,37,DT
Devin Smith,645000,2015,37,WR
Eric Weddle,4250524,2007,37,DB
Giovani Bernard,3400000,2013,37,RB
Greg Little,495000,2019,37,OL
Jabaal Sheard,7500000,2011,37,DL
Mitchell Schwartz,6000000,2012,37,T
Zay Jones,1081348,2017,37,WR
Cody Ford,495000,2019,38,OL
Forrest Lamp,1071084,2017,38,OG
Preston Smith,850000,2015,38,DE
Ronald Jones,801450,2018,38,RB
Xavien Howard,1285642,2016,38,CB
Eddie Goldman,2250000,2015,39,DT
James Daniels,795916,2018,39,C
Janoris Jenkins,10150000,2012,39,CB
Marcus Maye,1060822,2017,39,FS
Marqise Lee,7250000,2014,39,WR
Noah Spence,1273132,2016,39,DE
Sean Murphy-Bunting,495000,2019,39,CB
Courtland Sutton,790996,2018,40,WR
Curtis Samuel,1051698,2017,40,WR
Kyle Van Noy,4250000,2014,40,OLB
Sterling Shepard,1260623,2016,40,WR
Tank Carradine,805000,2013,40,DE
Trayvon Mullen,495000,2019,40,CB
Cordy Glenn,7250000,2012,41,T
Dalton Risner,495000,2019,41,OL
Dalvin Cook,1042576,2017,41,RB
Devin Funchess,3000000,2015,41,WR
Harold Landry,786077,2018,41,OLB
Lamarcus Joyner,4700000,2014,41,CB
Reggie Ragland,1196551,2016,41,ILB
Robert Woods,6000000,2013,41,WR
Brooks Reed,1125000,2011,42,DL
Drew Lock,495000,2019,42,QB
Jordan Matthews,1000000,2014,42,WR
Kamalei Correa,1234043,2016,42,OLB
Marcus Williams,1032313,2017,42,FS
Mike Gesicki,780542,2018,42,TE
Austin Johnson,1222122,2016,43,DT
Benardrick McKinney,6000000,2015,43,ILB
Jahlani Tavai,495000,2019,43,LB
Kerryon Johnson,775622,2018,43,RB
Kyle Rudolph,7275000,2011,43,TE
Sidney Jones,1023190,2017,43,CB
Weston Richburg,5500000,2014,43,C
Dante Pettis,770934,2018,44,WR
Elgton Jenkins,495000,2019,44,OL
Gerald Everett,1014497,2017,44,TE
Jihad Ward,720000,2016,44,DE
Kawann Short,12500000,2013,44,DT
Adam Shaheen,1002322,2017,45,TE
Alshon Jeffery,11750000,2012,45,WR
Derrick Henry,1187445,2016,45,RB
Eric Kendricks,4150000,2015,45,ILB
Joejuan Williams,495000,2019,45,CB
Josh Jackson,764368,2018,45,CB
Kevin Minter,805000,2013,45,ILB
Paul Richardson,5000000,2014,45,WR
A'Shawn Robinson,1163678,2016,46,DT
Greedy Williams,495000,2019,46,CB
Jaquiski Tartt,3000000,2015,46,SS
Kiko Alonso,6485000,2013,46,ILB
Linval Joseph,8900000,2010,46,DT
Mychal Kendricks,2000000,2012,46,ILB
Quincy Wilson,989207,2017,46,CB
Stephon Tuitt,6000000,2014,46,DT
Bobby Wagner,10500000,2012,47,ILB
Christian Kirk,747948,2018,47,WR
Eric Rowe,1375000,2015,47,CB
Lance Kendricks,930000,2011,47,TE
Marquise Blair,495000,2019,47,S
Michael Thomas,1148041,2016,47,WR
Trent Murphy,5800000,2014,47,DE
Tyus Bowser,971874,2017,47,OLB
Denzel Perryman,850000,2015,48,ILB
Erik McCoy,495000,2019,48,OL
Joe Mixon,960470,2017,48,RB
Le'Veon Bell,2000000,2013,48,RB
Stefen Wisniewski,1250000,2011,48,LG
Tavon Wilson,1000000,2012,48,FS
Timmy Jernigan,1000000,2014,48,DT
Uchenna Nwosu,741799,2018,48,OLB
Ben Banogu,1482500,2019,49,EDGE
Dallas Goedert,735649,2018,49,TE
DeSean Jackson,1030000,2008,49,WR
Jarran Reed,1116769,2016,49,DT
Johnathan Hankins,1000000,2013,49,DT
Mitch Morse,4400000,2015,49,OT
Ryan Anderson,949066,2017,49,OLB
Calais Campbell,12000000,2008,50,DE
Connor Williams,729500,2018,50,OT
Irv Smith Jr.,1447500,2019,50,TE
Jeremiah Attaochu,805000,2014,50,OLB
Jonathan Bostic,1800000,2013,50,LB
Nick Martin,1101133,2016,50,C
Ronald Darby,1000000,2015,50,CB
A.J. Brown,495000,2019,51,WR
Anthony Miller,723350,2018,51,WR
DeMarcus Walker,926260,2017,51,DE
Nate Orchard,805000,2015,51,OLB
Deion Jones,1069860,2016,52,OLB
Drew Sample,495000,2019,52,TE
Jamie Collins,900000,2013,52,OLB
Jordan Phillips,2250000,2015,52,DT
Kemoko Turay,717200,2018,52,OLB
Zach Brown,1000000,2012,52,OLB
Davante Adams,2750000,2014,53,WR
LeSean McCoy,6175000,2009,53,RB
M.J. Stewart,711051,2018,53,CB
Margus Hunt,1000000,2013,53,DE
Miles Sanders,495000,2019,53,RB
Ameer Abdullah,720000,2015,54,RB
Carlos Dunlap,3100000,2010,54,DE
Jamar Taylor,805000,2013,54,CB
Jessie Bates,704901,2018,54,FS
Lonnie Johnson,495000,2019,54,CB
Mackensie Alexander,1038587,2016,54,CB
Raekwon McMillan,892049,2017,54,ILB
Andrew Whitworth,10250000,2006,55,T
Dalvin Tomlinson,880646,2017,55,DT
Donte Jackson,698751,2018,55,CB
Max Scharping,495000,2019,55,OT
Maxx Williams,805000,2015,55,TE
Rodney Hudson,8250000,2011,55,OL
Sean Lee,2000000,2010,55,LB
Tyler Boyd,980769,2016,55,WR
Vance McDonald,4200000,2013,55,TE
Cody Latimer,925000,2014,56,WR
Cody Whitehair,1026077,2016,56,OG
Duke Dawson,695676,2018,56,CB
Mecole Hardman,495000,2019,56,WR
Carlos Hyde,1400000,2014,57,RB
D.J. Swearinger,4250000,2013,57,FS
JJ Arcega-Whiteside,495000,2019,57,WR
P.J. Hall,693830,2018,57,DT
Rob Havenstein,2500000,2015,57,OT
T.J. Green,720000,2016,57,FS
Zach Cunningham,871522,2017,57,OLB
Ethan Pocic,865821,2017,58,C
Isaiah Oliver,690757,2018,58,CB
Lavonte David,9750000,2012,58,OLB
Markus Golden,975000,2015,58,OLB
Sean Davis,1007314,2016,58,FS
Trysten Hill,495000,2019,58,DL
Derrius Guice,686452,2018,59,RB
Parris Campbell,495000,2019,59,WR
Ryan Kalil,2400000,2007,59,C
Tanoh Kpassagnon,832838,2017,59,DE
Ty Sambrailo,2000000,2015,59,OT
Vinny Curry,1000000,2012,59,DE
Chidobe Awuzie,854417,2017,60,CB
Cyrus Jones,996000,2016,60,CB
Golden Tate,1975000,2010,60,WR
James Washington,684607,2018,60,WR
Kelechi Osemele,9700000,2012,60,T
Nasir Adderley,495000,2019,60,S
Ali Marpet,3125000,2015,61,C
Allen Robinson,9900000,2014,61,WR
DJ Chark,682147,2018,61,WR
Josh Jones,849856,2017,61,S
Taylor Rapp,495000,2019,61,S
Vonn Bell,991677,2016,61,SS
Andy Isabella,495000,2019,62,WR
Brian O'Neill,680302,2018,62,OT
Casey Hayward,8000000,2012,62,DB
James Bradberry,940114,2016,62,CB
Jimmy Garoppolo,17200000,2014,62,QB
JuJu Smith-Schuster,846434,2017,62,WR
Adam Gotsis,986987,2016,63,DT
Carlton Davis,679687,2018,63,CB
Dion Dawkins,845294,2017,63,OG
Frank Clark,805000,2015,63,DE
Jarvis Landry,12500000,2014,63,WR
Juan Thornhill,495000,2019,63,S
Travis Kelce,7500000,2013,63,TE
D.K. Metcalf,495000,2019,64,WR
Jordan Richards,805000,2015,64,SS
Justin Britt,4500000,2014,64,OT
Kevin Byard,2025000,2016,64,S
Randall Cobb,2000000,2011,64,WR
Taylor Moton,843014,2017,64,OT
Tyquan Lewis,678457,2018,64,DE
Brandon Parker,666152,2018,65,OT
Carl Nassib,2025000,2016,65,DE
Frank Gore,1250000,2005,65,RB
Larry Ogunjobi,820200,2017,65,DT
Larry Warford,7650000,2013,65,OG
Terrell McClain,930000,2011,65,DL
Trumaine Johnson,8000000,2012,65,CB
Zach Allen,495000,2019,65,DL
Ahkello Witherspoon,815375,2017,66,CB
Diontae Johnson,495000,2019,66,WR
Josh Robinson,805000,2012,66,CB
Lorenzo Carter,665613,2018,66,DE
Morgan Moses,4750000,2014,66,OT
A.J. Cann,805000,2015,67,OG
Alvin Kamara,807500,2017,67,RB
Billy Turner,1350000,2014,67,OT
Chad Thomas,665000,2018,67,DE
Maliek Collins,2025000,2016,67,DT
Clive Walford,720000,2015,68,TE
Dawuane Smoot,812500,2017,68,DE
Justin Reid,664979,2018,68,FS
Will Redmond,570000,2016,68,CB
B.J. Hill,664345,2018,69,DT
Cooper Kupp,811000,2017,69,WR
Jason Witten,2000000,2003,69,TE
Josh Oliver,495000,2019,69,TE
Tyler Lockett,3907000,2015,69,WR
Tyrann Mathieu,850000,2013,69,CB
Yannick Ngakoue,2025000,2016,69,OLB
Blidi Wreh-Wilson,805000,2013,70,CB
Bronson Kaufusi,645000,2016,70,DE
Bryan Anger,930000,2012,70,P
Darrell Henderson,495000,2019,70,RB
Fred Warner,663137,2018,70,OLB
Justin Houston,1000000,2011,70,LB
Pat Elflein,809500,2017,70,C
Christian Kirksey,7000000,2014,71,OLB
Dan Feeney,793000,2017,71,OG
Darian Thompson,720000,2016,71,FS
Dre'Mont Jones,495000,2019,71,DL
Hroniss Grasu,720000,2015,71,C
Morgan Burnett,1000000,2010,71,DB
Royce Freeman,661000,2018,71,RB
Brian Winters,6000000,2013,72,OG
Germaine Pratt,495000,2019,72,LB
Jamon Brown,2500000,2015,72,OT
Jonathan Bullard,820000,2016,72,DE
Nathan Shepherd,656000,2018,72,DT
Olivier Vernon,15250000,2012,72,DE
Taywan Taylor,773500,2017,72,WR
David Montgomery,495000,2019,73,RB
Jerome Baker,654000,2018,73,OLB
John Jerry,930000,2010,73,G
Jordan Willis,754750,2017,73,DE
Kenyan Drake,2025000,2016,73,RB
Mike Glennon,1000000,2013,73,QB
Preston Brown,900000,2014,73,ILB
Tevin Coleman,1550000,2015,73,RB
Chris Wormley,736000,2017,74,DT
Devin Singletary,495000,2019,74,RB
Geron Christian,647000,2018,74,OT
Derrick Nnadi,601500,2018,75,DT
Duke Riley,726500,2017,75,OLB
Jace Sternberger,495000,2019,75,TE
Russell Wilson,5000000,2012,75,QB
Shilique Calhoun,720000,2016,75,DE
Terron Armstead,10700000,2013,75,OT
Alex Anzalone,717000,2017,76,OLB
Brandon Brooks,8000000,2012,76,G
Chris Conley,805000,2015,76,WR
Keenan Allen,10000000,2013,76,WR
Mason Rudolph,658267,2018,76,QB
Terry McLaurin,495000,2019,76,WR
Chase Winovich,495000,2019,77,EDGE
Daeshon Hall,645000,2017,77,DE
Daryl Worley,3095000,2016,77,CB
Demario Davis,5950000,2012,77,OLB
Duke Johnson,1800000,2015,77,RB
Jurrell Casey,10550000,2011,77,DL
Sam Hubbard,640000,2018,77,DE
Joe Thuney,1995000,2016,78,OG
Malik Jefferson,635000,2018,78,OLB
Marquise Goodwin,2950000,2013,78,WR
Michael Deiter,495000,2019,78,OL
P.J. Williams,850000,2015,78,CB
Spencer Long,1350000,2014,78,OG
Tim Williams,690000,2017,78,OLB
David Long,495000,2019,79,CB
Isaac Seumalo,749000,2016,79,OG
Rasheem Green,639000,2018,79,DT
Terrence Brooks,805000,2014,79,FS
Martinas Rankin,634000,2018,80,OT
Sione Takitaki,495000,2019,80,LB
Tarell Basham,687500,2017,80,DE
Austin Hooper,2025000,2016,81,TE
Damontre Moore,805000,2013,81,DE
Fabian Moreau,684000,2017,81,CB
Gabe Jackson,6750000,2014,81,OG
John Miller,900000,2015,81,OG
Josh McCown,2000000,2002,81,QB
Michael Gallup,629000,2018,81,WR
Richie Incognito,1030000,2005,81,G
Tyrone Crawford,7000000,2012,81,DE
Will Harris,495000,2019,81,S
Emmanuel Sanders,10250000,2010,82,WR
John Jenkins,805000,2013,82,DT
Nate Davis,495000,2019,82,OL
Tracy Walker,628000,2018,82,S
Corey Peters,3250000,2010,83,DT
Jordan Jenkins,2025000,2016,83,OLB
Justin Layne,495000,2019,83,CB
Logan Ryan,9500000,2013,83,CB
Mohamed Sanu,6000000,2012,83,WR
Orlando Brown,627000,2018,83,OT
Chris Godwin,677000,2017,84,WR
Jordan Hicks,2000000,2015,84,OLB
Justin Jones,621481,2018,84,DT
Kareem Martin,3250000,2014,84,DE
Kendall Fuller,2025000,2016,84,CB
Khalen Saunders,495000,2019,84,DT
Shawn Williams,3500000,2013,84,SS
Brandon Mebane,1050000,2007,85,DT
Colt McCoy,3000000,2010,85,QB
Jaylon Ferguson,495000,2019,85,DE
Rashaan Gaulden,595250,2018,85,CB
Tyler Kroft,1800000,2015,85,TE
Allen Bailey,2750000,2011,86,DL
David Johnson,5700000,2015,86,RB
Kareem Hunt,645000,2017,86,RB
Mark Andrews,624500,2018,86,TE
Marshal Yanda,7000000,2007,86,G
Arden Key,624250,2018,87,DE
Damien Harris,495000,2019,87,RB
Nick Vigil,2000000,2016,87,ILB
Phillip Gaines,805000,2014,87,CB
Andre Roberts,2000000,2010,88,WR
Cody Barton,495000,2019,88,LB
Danielle Hunter,9400000,2015,88,DE
Eddie Vanderdoes,679000,2017,88,DT
Kyler Fackrell,2010000,2016,88,OLB
Nick Foles,5000000,2012,88,QB
Oren Burks,606500,2018,88,ILB
Akiem Hicks,8000000,2012,89,DE
Bobby Okereke,495000,2019,89,LB
Jared Cook,2000000,2009,89,TE
Javon Hargrave,2025000,2016,89,DT
Joseph Noteboom,626626,2018,89,OT
Sean Mannion,805000,2015,89,QB
C.J. Prosise,745000,2016,90,RB
Carl Davis,1500000,2015,90,DT
Deadrin Senat,622000,2018,90,DT
Donte Moncrief,1500000,2014,90,WR
Kayvon Webster,805000,2013,90,CB
Matt Schaub,1030000,2004,90,QB
Shaquill Griffin,680000,2017,90,DB
Duron Harmon,2500000,2013,91,FS
Jacoby Brissett,2000000,2016,91,QB
John Brown,3800000,2014,91,WR
John Johnson,677000,2017,91,S
Tre'Quan Smith,616500,2018,91,WR
Trey Pipkins,495000,2019,91,OT
Chukwuma Okorafor,620000,2018,92,OT
Chuma Edoga,495000,2019,92,OL
Jeff Heuerman,2000000,2015,92,TE
Jourdan Lewis,675000,2017,92,CB
T.Y. Hilton,13000000,2012,92,WR
Trai Turner,5297000,2014,92,OG
Brandon Linder,5500000,2014,93,OG
Henry Anderson,2000000,2015,93,DE
Miles Boykin,495000,2019,93,WR
Montravius Adams,671000,2017,93,DT
Ronnie Harrison,617500,2018,93,SS
Alex Cappa,615000,2018,94,OT
Brandon Williams,9250000,2013,94,DT
Cameron Sutton,677400,2017,94,CB
Jamel Dean,495000,2019,94,CB
Nick Vannett,736000,2016,94,TE
Ty Montgomery,805000,2015,94,RB-WR
Delano Hill,678000,2017,95,FS
Graham Glasgow,2025000,2016,95,OG
Jimmy Graham,3450000,2010,95,TE
Michael Schofield,2000000,2014,95,OT
Oshane Ximines,495000,2019,95,EDGE
Tarvarius Moore,603000,2018,95,S
Tony Bergstrom,805000,2012,95,OT
Dawson Knox,495000,2019,96,TE
Harrison Phillips,570000,2018,96,DT
Kenny Golladay,676000,2017,96,WR
Bobby Evans,495000,2019,97,OL
Mason Cole,570000,2018,97,C
Chad Williams,671500,2017,98,WR
Jordan Akins,600000,2018,98,TE
Justin Simmons,2025000,2016,98,FS
Matt Barkley,1250000,2013,98,QB
Quincy Williams,495000,2019,98,nan
