FMID,MarketName,street,city,County,State,zip,x,y,Website,Facebook,Twitter,Youtube,OtherMedia,Organic,Tofu,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,WildHarvested,updateTime,Location,Credit,WIC,WICcash,SFMNP,SNAP,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time
1010284,175th Street Greenmarket,175th Street at Wadsworth Ave,New York,New York,New York,10033,-73.93780240000002,40.8459583,http://www.grownyc.org/ourmarkets,,,,,-,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,6/3/2014 12:38:54 PM,Closed-off public street,Y,Y,Y,Y,Y,06/26/2014 to 11/20/2014,Thu: 8:00 AM-5:00 PM;,,,,,,
1003877,17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044,http://www.iatp.org/minimarkets,,,,,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 2:33:54 PM,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,
1002619,17th Street Farmers Market,17th & Main Streets,Richmond,Henrico,Virginia,23219,-77.4886,37.5583,http://www.17thstreetfarmersmarket.com,,,,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,,N,N,N,N,N,,,,,,,,
1010968,18th and Christian Farmers' Market,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,-75.17343100000002,39.940943,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 3:33:48 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,
1009994,18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.662538,41.864268,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,6/29/2016 4:32:46 PM,,Y,N,N,N,N,06/07/2014 to 09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,
1010376,18th Street Farmers Market,825 18th Street,Charleston,Coles,Illinois,61920,-88.16325400000002,39.490737,,https://www.facebook.com/groups/631614906915563/,,,,-,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,6/27/2016 9:31:27 PM,,Y,Y,Y,Y,Y,05/14/2016 to 10/01/2016,Sat: 8:00 AM-12:00 PM;,,,,,,
1003233,2014 Wood County Farmers' Market,555 W. Grand Ave.,Wisconsin Rapids,Wood,Wisconsin,54495,-89.831575,44.394819,,https://www.facebook.com/groups/Woodcountyfarmersmarket/,,,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,3/31/2014 4:57:41 PM,Private business parking lot,N,Y,N,Y,Y,06/06/2013 to 10/31/2013,Thu: 9:00 AM-5:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,
1000709,20th Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,-73.99435799999998,40.404837,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,-,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,4/9/2014 10:45:36 AM,Local government building grounds,Y,Y,Y,Y,Y,06/28/2014 to 11/01/2014,Sat: 8:30 AM-2:00 PM;,,,,,,
1012158,21 Acres Farm Market,13701 NE 171st Street,Woodinville,King,Washington,98072,-122.1569875,47.75023970000001,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,6/30/2016 7:50:56 PM,,Y,N,N,N,Y,01/01/2016 to 12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,
1010873,21st Street Farmers Market,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,-95.714514,39.028184,,,,,,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,3/2/2015 10:46:33 AM,,Y,N,N,Y,N,06/05/2015 to 10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,
1005309,22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.181286,39.932257,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 2:29:42 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,
1011881,25th Street Market - North Logan at the Library Summer 2016,475 East 2500 North,North Logan,Cache,Utah,84341,-111.8206049,41.7782437,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,Instagram: north logan market  (25th Street Market),-,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,4/18/2016 10:33:41 AM,,Y,N,N,N,N,05/07/2016 to 10/15/2016,Sun: 9:00 AM-1:00 PM;,,,,,,
1010966,26th and Allegheny,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,-75.17228829999998,40.0040946,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 3:17:20 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,
1005299,29th and Wharton Farmers' Market,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 2:47:10 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/15/2015,Tue: 2:00 PM-6:00 PM;,,,,,,
1010994,2nd Street Farmers' Market,194 second street,Amherst,Amherst,Virginia,24521,-79.048573,37.583311,http://secondstageAmherst.org,second stage of AMherst,,,,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,3/4/2016 1:51:55 PM,,Y,N,N,N,N,05/05/2016 to 09/01/2016,Thu: 3:30 PM-6:30 PM;,,,,,,
1009959,2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.18103,39.762593,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,6/30/2016 2:35:22 PM,,Y,N,Y,N,Y,01/01/2016 to 12/31/2016,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,
1004950,3 French Hens French Country Market,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,-88.425186,41.356383,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,4/4/2014 11:58:41 PM,Other,Y,N,N,N,N,05/10/2014 to 10/11/2014,Sat: 8:00 AM-2:00 PM;,11/14/2014 to 11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,
1010775,30A Farmers' Market,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,-86.00275400000002,30.279017,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,-,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,1/16/2015 6:38:15 PM,,Y,N,N,N,N,01/18/2015 to 01/05/2020,Sun: 9:00 AM-1:00 PM;,,,,,,
1005636,32nd Street/Waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.3272,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,3/14/2014 1:23:50 PM,Closed-off public street,Y,Y,Y,Y,Y,01/01/2013 to 12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,
1005310,33rd and Diamond Farmers' Market,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.187167,39.988802,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 2:28:01 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,
1003161,38th & Meridian Farmers Market,3808 North Meridian Street,Indianapolis,Marion,Indiana,46208,-86.15875,39.82604,,,,,,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,4/30/2012 10:26:46 AM,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,N,June to October,Thu:4:00 PM - 6:30 PM;,,,,,,
1004414,3rd & Curry St. Farmers Market,3rd & Curry Street,Carson City,Carson City,Nevada,89703,-119.7678,39.16257,http://www.carsonfarmersmarket.com,,,,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,5/18/2012 4:12:09 PM,Local government building grounds,N,N,N,Y,N,June to September,Sat:8:30 AM - 1:30 PM;,,,,,,
1011213,441 Ministries Farm Stand,441 Parsells Avenue,Rochester,Monroe,New York,14609,-77.5666043,43.1658344,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,6/8/2015 9:22:25 AM,,Y,Y,N,N,Y,,Tue: 3:00 PM-7:00 PM;,,,,,,
1010965,4th and Lehigh Farmers' Market,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,-75.138654,39.991748,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 3:11:40 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,
1006234,4th Street Farmers Market,315 East 4th St.,Larimer,,Colorado,,-105.073,40.3954,http://www.4thstreetfarmersmarket.com,,,,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011,,N,N,N,N,N,,,,,,,,
1006494,52 & Shadeland Avenue Farmers Market,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,-86.0476,39.8481,,,,,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,,N,N,N,N,N,,,,,,,,
1005304,52nd and Haverford Farmers' Market,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.224492,39.965054,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 2:38:14 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,
1000060,57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.985839,40.768159,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,7/24/2013 11:06:00 AM,Other,Y,Y,Y,Y,Y,04/20/2013 to 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,
1005306,58th and Chester Farmers' Market,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228303,39.935721,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3/24/2015 2:35:04 PM,,Y,Y,N,Y,Y,06/01/2015 to 11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,
1011895,61st Street Farmers Market,6100 S Blackstone Ave,Chicago,Cook,Illinois,60637,-87.59059029999997,41.7841364,http://www.experimentalstation.org/market,http://www.facebook.com/61stStreetFarmersMarket/,http://twitter.com/61market,,http://www.instagram.com/61market/,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,4/25/2016 3:29:53 PM,,Y,Y,N,Y,Y,05/14/2016 to 10/29/2016,Sat: 9:00 AM-2:00 PM;,11/05/2016 to 12/31/2016,Sat: 9:00 AM-2:00 PM;,,,,
1010386,6th Ave Farmers Market,6th and Pine,Tacoma,Pierce,Washington,98406,-122.4736263,47.255403,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,,,,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,8/4/2014 1:48:22 PM,Closed-off public street,Y,Y,N,Y,Y,05/06/2014 to 09/30/2014,Tue: 3:00 PM-7:00 PM;,,,,,,
1000061,79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,7/24/2013 10:54:51 AM,Other,Y,Y,Y,Y,Y,01/01/2013 to 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,
1000062,82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.95009,40.773749,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,7/24/2013 10:50:27 AM,Other,Y,Y,Y,Y,Y,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,
1008391,84 west farmers market (Dothan),,Dothan,Houston,Alabama,,-85.44994399999999,31.232252000000006,,,,,,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,3/15/2014 9:29:24 AM,Private business parking lot,Y,N,N,Y,N,06/06/2013 to 08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,
1001961,8th Avenue City Farmers Market,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.6626534,41.972837,,,,,,-,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,4/25/2012 1:17:22 PM,Local government building grounds,Y,Y,N,Y,N,May to October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,
1000063,92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946421,40.780931,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,7/24/2013 10:43:59 AM,Other,Y,Y,Y,Y,Y,06/23/2013 to 11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,
1000064,97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,-73.967012,40.79356,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,7/24/2013 10:39:55 AM,Other,Y,Y,Y,Y,Y,01/01/2013 to 12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,
1011989,9th and Grand Farmers Market,304 West Grand Avenue,Salina,Saline,Kansas,67401,-97.6117504,38.8528359,http://Farmtoforkks.com,,,,,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,5/28/2016 3:39:24 PM,,Y,N,N,Y,Y,05/10/2016 to 09/27/2016,Tue: 4:00 PM-7:00 PM;,,,,,,
1000986,9th West Farmers Market/People's Market ,1060 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110,-111.9195223,40.7470177,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,,,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,Y,6/28/2016 1:05:51 AM,,Y,N,N,N,Y,05/12/2013 to 10/20/2013,Sun: 9:00 AM-2:00 PM;,06/26/2016 to 08/01/2016,,,,,
1010617,A + Organic Farmers Market,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473,-80.221052,26.489351,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,9/29/2014 1:37:38 PM,,Y,N,N,N,N,,,,,,,,
1001683,A Better Choice Bakery & Market,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,-77.6277075,39.313066,,https://www.facebook.com/nottinghamfarmersmarket,,,,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/3/2012 5:01:00 PM,Co-located with wholesale market facility,Y,N,N,N,N,January to December,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,,,,,,
1009004,A Growers' Market,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,-84.2792304,30.4624713,,,,,,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,5/6/2014 10:28:06 PM,Other,Y,Y,N,Y,N,01/01/2014 to 12/31/2014,Wed: 3:00 PM-6:30 PM;,,,,,,
1002697,A Kentucky Farmer's Market LLC,2349 S Hwy 127,Russell Springs,Russell,Kentucky,42642,-85.07679499999998,37.032535,,,,,,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/27/2012 11:26:57 PM,Private business parking lot,N,Y,N,Y,N,June to October,Tue:7:00 AM - 4:00 PM;Fri:7:00 AM - 4:00 PM;Sat:7:00 AM - 2:00 PM;,,,,,,
1001887,AAFFA Community Farmers Market,402 North Murray Avenue,Anderson,Anderson,South Carolina,29624,-82.652159,34.506706,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,,-,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,4/8/2014 1:54:22 PM,Local government building grounds,Y,N,N,N,N,05/06/2014 to 09/23/2014,Tue: 5:00 PM-8:00 PM;,,,,,,
1007585,AAMC Farmers's Market,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,-76.6123,39.006,,,,,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/23/2011 11:54:21 PM,,N,N,N,N,N,,,,,,,,
