Name,Salary
P.J. Washington,3831840
Luke Kennard,3827160
Miles Bridges,3755400
Jakob Pöltl,3754886
Tyler Herro,3640200
Donovan Mitchell,3635760
Stanley Johnson,3623000
Jake Layman,3581986
Thon Maker,3569643
Jerome Robinson,3567720
Allonzo Trier,3551100
Danuel House,3540000
Domantas Sabonis,3529555
Mirza Teletović,3500000
Boban Marjanović,3500000
T.J. McConnell,3500000
DeMarcus Cousins,3500000
Taurean Waller-Prince,3481986
Dario Šarić,3481986
Romeo Langford,3458400
Bam Adebayo,3454080
Kyle Korver,3440000
Michael Porter,3389400
Denzel Valentine,3377569
Juan Hernangómez,3321030
Sekou Doumbouya,3285120
Justin Jackson,3280920
Troy Brown,3219480
Markieff Morris,3200000
Jon Leuer,3169348
Yogi Ferrell,3150000
Guerschon Yabusele,3117240
Zhaire Smith,3058800
Dwight Howard,3039097
Khem Birch,3000000
Ryan Arcidiacono,3000000
Quinn Cook,3000000
Ömer Aşık,3000000
Nickeil Alexander-Walker,2964840
D.J. Wilson,2961120
Cedi Osman,2907143
Donte DiVincenzo,2905800
Bryn Forbes,2875000
Andrew Nicholson,2844429
Goga Bitadze,2816760
T.J. Leaf,2813280
Lonnie Walker,2760480
Alex Caruso,2750000
Malik Beasley,2731714
Luka Šamanić,2689920
John Collins,2686560
Kevin Huerter,2636280
Caris LeVert,2625718
Marko Guduric,2625000
DeAndre' Bembry,2603982
Matisse Thybulle,2582160
Harry Giles,2578800
Jeff Green,2564753
Anthony Tolliver,2564753
Wesley Matthews,2564753
Udonis Haslem,2564753
Jared Dudley,2564753
Rajon Rondo,2564753
Thabo Sefolosha,2564753
Tyson Chandler,2564753
Gerald Green,2564753
J.J. Barea,2564753
Wilson Chandler,2564753
Nenê Hilário,2564753
Vince Carter,2564753
Josh Okogie,2530680
Vincent Poirier,2505793
Rondae Hollis-Jefferson,2500000
Brandon Clarke,2478840
Terrance Ferguson,2475840
Grayson Allen,2429400
Grant Williams,2379840
Jarrett Allen,2376840
Pascal Siakam,2351839
Skal Labissière,2338847
Chandler Hutchison,2332320
Patrick Patterson,2331593
Dejounte Murray,2321735
Alec Burks,2320044
Isaiah Thomas,2320044
Damian Jones,2305057
Darius Bazley,2284800
OG Anunoby,2281800
Ante Žižić,2281800
Monta Ellis,2245400
Aaron Holiday,2239200
Luke Kornet,2195122
Ty Jerome,2193480
Willie Cauley-Stein,2177483
Austin Rivers,2174318
Carmelo Anthony,2159029
Anfernee Simons,2149560
Matt Barnes,2133541
Nassir Little,2105520
Torrey Craig,2100000
Moritz Wagner,2063520
Dylan Windler,2035800
Caleb Swanigan,2033160
Trey Burke,2028594
Kyle O'Quinn,2028594
Michael Carter-Williams,2028594
Mike Muscala,2028594
Nerlens Noel,2028594
Troy Daniels,2028594
Ben McLemore,2028594
Spencer Hawes,2007058
Edmond Sumner,2000000
Noah Vonleh,2000000
Landry Shamet,1995120
Mfiondu Kabengele,1977000
Kyle Kuzma,1974600
Jordan Poole,1964760
Tony Bradley,1962360
Keldon Johnson,1950600
Derrick White,1948080
Robert Williams,1937520
Josh Hart,1934160
Jacob Evans,1925880
Anderson Varejão,1913345
Džanan Musa,1911600
Omari Spellman,1897800
Shabazz Napier,1882867
Glenn Robinson,1882867
James Ennis,1882867
Tim Frazier,1882867
Larry Sanders,1865547
Bruno Caboclo,1845301
Georges Niang,1783557
Mario Hezonja,1737145
Emmanuel Mudiay,1737145
Raul Neto,1737145
JaKarr Sampson,1737145
Pat Connaughton,1723050
Jahlil Okafor,1702486
Rodions Kurucs,1699236
Jonah Bolden,1698450
Cheick Diallo,1678854
Dragan Bender,1678854
David Nwaba,1678854
Treveon Graham,1678854
Willy Hernangómez,1676735
Derrick Jones,1645357
Christian Wood,1645357
Jordan McRae,1645357
Furkan Korkmaz,1620564
Jordan Bell,1620564
Justin Patton,1620564
Royce O'Neale,1618520
Dillon Brooks,1618520
Wesley Iwundu,1618520
Abdel Nader,1618520
Damyean Dotson,1618520
Frank Jackson,1618520
Sterling Brown,1618520
Dwayne Bacon,1618520
Semi Ojeleye,1618520
Chris Boucher,1588231
Malcolm Miller,1588231
Monte Morris,1588231
Mitchell Robinson,1559712
Vlatko Čančar,1517981
Isaiah Roby,1500000
Nigel Williams-Goss,1500000
J.R. Smith,1456667
Shake Milton,1445697
Thanasis Antetokounmpo,1445697
Amile Jefferson,1445697
Theo Pinson,1445697
Brad Wanamaker,1445697
Derrick Walton,1445697
Ryan Broekhoff,1443842
Gary Trent,1416852
Isaac Bonga,1416852
Chimezie Metu,1416852
Jevon Carter,1416852
Elie Okobo,1416852
Melvin Frazier,1416852
Deonte Burton,1416852
Hamidou Diallo,1416852
Kenrich Williams,1416852
Jarred Vanderbilt,1416852
Duncan Robinson,1416852
Kendrick Nunn,1416852
De'Anthony Melton,1416852
Alize Johnson,1416852
Isaiah Hartenstein,1416852
Sviatoslav Mykhailiuk,1416852
Bruce Brown,1416852
Keita Bates-Diop,1416852
Devonte' Graham,1416852
Jalen Brunson,1416582
Bruno Fernando,1400000
Jaylen Nowell,1400000
Alfonzo McKinnie,1361046
Kevin Porter,1290960
Carsen Edwards,1200000
Cody Martin,1173310
Gary Payton,1090781
Terance Mann,1000000
Jonathon Simmons,1000000
Justin Hamilton,1000000
Kyle Singler,999200
Admiral Schofield,898310
KZ Okpala,898310
Eric Paschall,898310
Nicolas Claxton,898310
Justin James,898310
Jalen Lecque,898310
Ignas Brazdeikis,898310
Talen Horton-Tucker,898310
Daniel Gafford,898310
Alen Smailagić,898310
Matt Thomas,898310
Miye Oni,898310
Dewan Hernandez,898310
Terence Davis,898310
Wenyen Gabriel,898310
Naz Reid,898310
Jalen McDaniels,898310
Caleb Martin,898310
Shaquille Harrison,898310
Javonte Green,898310
Damion Lee,842327
Khyri Thomas,838464
Marquese Chriss,758804
Juwan Morgan,746054
Gary Clark,708426
Cole Aldrich,685340
Shaun Livingston,666667
Timothé Luwawu-Cabarrot,654468
Rayjon Tucker,578573
Chris Clemons,568422
Malik Newman,555409
Brandon Goodwin,522738
Anžejs Pasečņiks,482144
Chris Silva,466918
Dakari Johnson,459414
Iman Shumpert,419443
Max Strus,415414
Justin Robinson,395866
Ivan Rabb,371758
Ky Bowman,355264
Norvel Pelle,350189
Juan Toscano-Anderson,350189
A.J. Hammons,350087
Festus Ezeli,333333
C.J. Watson,333333
Stanton Kidd,250000
Joe Johnson,220000
Jemerrio Jones,199000
Cameron Payne,150000
Troy Williams,122741
Johnathan Williams,106181
Tyler Cook,101504
Yante Maten,100000
Jaylen Adams,100000
Justin Anderson,98144
Demetrius Jackson,92857
Jeremy Pargo,91558
Josh Magette,81678
J.P. Macura,81678
Eric Mika,50752
Zach Norvell,50752
Marques Bolden,50752
Paul Watson,50752
William Howard,50000
Isaiah Taylor,50000
Tyler Ulis,50000
Tyler Lydon,50000
Hollis Thompson,50000
